hfi,reserve_name
6.83587786259542,Mokala National Park
5.72378138847858,Addo-Elephant National Park
7.44390243902439,Mountain Zebra National Park
9.53475935828877,Camdeboo National Park
5.52601156069364,Agulhas National Park
13.7777777777778,Bontebok National Park
6.98493975903615,Golden Gate Highlands National Park
5.86308068459658,Karoo National Park
3.03904923599321,Marakele National Park
5.21275546545395,Kruger National Park
6.86956521739131,Vaalbos National Park
2.85584415584416,Kalahari Gemsbok National Park
8.30597014925373,Mapungupwe National Park
8.82328482328482,Augrabies Falls National Park
4.5962962962963,Meerkat National Park
4.60929909784872,Tankwa-Karoo National Park
19.7260273972603,West Coast National Park
5.78180473372781,Namaqua National Park
9.04831932773109,Garden Route National Park
8.17391304347826,reserve_20
6.3,reserve_21
7.88888888888889,reserve_22
15.6666666666667,reserve_23
4.73529411764706,reserve_24
5,reserve_25
10.6666666666667,reserve_26
12.5625,reserve_27
1.92307692307692,reserve_28
8,reserve_29
7,reserve_30
6.68421052631579,reserve_31
3.33333333333333,reserve_32
5,reserve_33
1.86666666666667,reserve_34
5.30769230769231,reserve_35
6.13333333333333,reserve_36
6,reserve_37
7.5,reserve_38
5.73529411764706,reserve_39
3.76470588235294,reserve_40
8.1578947368421,reserve_41
4.87037037037037,reserve_42
4.39285714285714,reserve_43
6.78787878787879,reserve_44
2.16666666666667,reserve_45
6.11111111111111,reserve_46
6.73529411764706,reserve_47
5.8046875,reserve_48
3.63636363636364,reserve_49
9.9,reserve_50
9,reserve_51
3.1025641025641,reserve_52
6.46153846153846,reserve_53
5.88372093023256,reserve_54
6.19230769230769,reserve_55
7.21212121212121,reserve_56
7.71212121212121,reserve_57
7.05128205128205,reserve_58
5.31578947368421,reserve_59
8.52,reserve_60
7.70588235294118,reserve_61
9.4,reserve_62
7.37362637362637,reserve_63
6,reserve_64
17.25,reserve_65
8.6,reserve_66
10.0625,reserve_67
7.34177215189873,reserve_68
9.3,reserve_69
7.71428571428571,reserve_70
10.34,reserve_71
6.5,reserve_72
6.5625,reserve_73
5.625,reserve_74
5.875,reserve_75
7.01086956521739,reserve_76
8.45714285714286,reserve_77
3.86486486486487,reserve_78
10,reserve_79
9,reserve_80
18.6666666666667,reserve_81
33,reserve_82
4.83333333333333,reserve_83
12.4444444444444,reserve_84
8.60526315789474,reserve_85
9.625,reserve_86
7.4,reserve_87
9.8,reserve_88
7.0952380952381,reserve_89
6.55555555555556,reserve_90
7.80645161290323,reserve_91
9.5,reserve_92
10.625,reserve_93
5.7027027027027,reserve_94
7.32926829268293,reserve_95
5.73076923076923,reserve_96
7.07317073170732,reserve_97
6.92307692307692,reserve_98
8.85714285714286,reserve_99
2.88,reserve_100
8.4,reserve_101
6.47058823529412,reserve_102
2.42,reserve_103
7.2,reserve_104
13,reserve_105
3.05263157894737,reserve_106
4.74074074074074,reserve_107
8.4,reserve_108
8.84848484848485,reserve_109
10.5,reserve_110
14.7333333333333,reserve_111
6.52631578947368,reserve_112
7.3,reserve_113
6.6735324407827,reserve_114
5.81395348837209,reserve_115
11.5555555555556,reserve_116
8.73170731707317,reserve_117
7.46153846153846,reserve_118
2.04545454545455,reserve_119
6.33333333333333,reserve_120
7.46428571428571,reserve_121
7.66028708133971,reserve_122
7.44444444444445,reserve_123
5.83703703703704,reserve_124
7.75675675675676,reserve_125
9,reserve_126
4.75,reserve_127
7.33333333333333,reserve_128
4.84,reserve_129
10.7894736842105,reserve_130
5.6,reserve_131
5.33333333333333,reserve_132
7.66666666666667,reserve_133
7.75510204081633,reserve_134
6.74117647058824,reserve_135
7.48571428571429,reserve_136
3.28476821192053,reserve_137
7.27624309392265,reserve_138
6.9,reserve_139
18,reserve_140
5,reserve_141
14.3333333333333,reserve_142
11,reserve_143
11.2857142857143,reserve_144
8,reserve_145
6.80645161290323,reserve_146
8.33333333333333,reserve_147
5.23529411764706,reserve_148
5.36956521739131,reserve_149
5.96575342465753,reserve_150
14,reserve_151
9.46666666666667,reserve_152
4.78571428571429,reserve_153
6.58208955223881,reserve_154
12.2666666666667,reserve_155
4.07692307692308,reserve_156
3.16666666666667,reserve_157
5.08695652173913,reserve_158
5.57142857142857,reserve_159
57.3333333333333,reserve_160
10.75,reserve_161
6.52884615384615,reserve_162
9.19230769230769,reserve_163
8.04444444444444,reserve_164
13,reserve_165
3.80263157894737,reserve_166
8.23076923076923,reserve_167
5.66666666666667,reserve_168
11.5675675675676,reserve_169
4.01785714285714,reserve_170
2.92857142857143,reserve_171
5.27272727272727,reserve_172
5.41379310344828,reserve_173
3,reserve_174
8.41071428571429,reserve_175
5.13698630136986,reserve_176
7,reserve_177
3.8,reserve_178
6.51648351648352,reserve_179
9.55555555555556,reserve_180
8.2089552238806,reserve_181
3.375,reserve_182
5.83333333333333,reserve_183
9.05555555555556,reserve_184
7.75,reserve_185
2.86666666666667,reserve_186
3.90546218487395,reserve_187
11.2238805970149,reserve_188
5.54166666666667,reserve_189
6.66666666666667,reserve_190
2.5,reserve_191
3.1,reserve_192
4.53488372093023,reserve_193
2.84444444444444,reserve_194
11,reserve_195
3.41379310344828,reserve_196
3.75,reserve_197
6.28571428571429,reserve_198
6.41592920353982,reserve_199
4.16279069767442,reserve_200
3.28571428571429,reserve_201
5.35211267605634,reserve_202
8,reserve_203
5.6,reserve_204
23.6923076923077,reserve_205
2.5,reserve_206
5.4368932038835,reserve_207
8.09473684210526,reserve_208
6.5,reserve_209
9.39622641509434,reserve_210
1.71428571428571,reserve_211
3.95454545454545,reserve_212
3.67741935483871,reserve_213
1.92125984251969,reserve_214
2.98,reserve_215
4.16666666666667,reserve_216
3.65625,reserve_217
2.6,reserve_218
5.45019920318725,reserve_219
8,reserve_220
4.61290322580645,reserve_221
2.72727272727273,reserve_222
3.48571428571429,reserve_223
6.51020408163265,reserve_224
6.65384615384615,reserve_225
2.19626168224299,reserve_226
3.43076923076923,reserve_227
2.12121212121212,reserve_228
6.5,reserve_229
1.39285714285714,reserve_230
5.89090909090909,reserve_231
6.5,reserve_232
5.57142857142857,reserve_233
7,reserve_234
2.93290734824281,reserve_235
6.58620689655172,reserve_236
6.19565217391304,reserve_237
0.0909090909090909,reserve_238
3.26666666666667,reserve_239
5.75,reserve_240
5.8,reserve_241
3.56666666666667,reserve_242
5,reserve_243
5.07692307692308,reserve_244
4.77777777777778,reserve_245
1.7,reserve_246
6.4375,reserve_247
7.66666666666667,reserve_248
7.5,reserve_249
9,reserve_250
5.85714285714286,reserve_251
9.75,reserve_252
7,reserve_253
3.33333333333333,reserve_254
4.47619047619048,reserve_255
11,reserve_256
11,reserve_257
4.81818181818182,reserve_258
9.57142857142857,reserve_259
5.33333333333333,reserve_260
4.5,reserve_261
4,reserve_262
8.66666666666667,reserve_263
3.75352112676056,reserve_264
13,reserve_265
5.91666666666667,reserve_266
2.57142857142857,reserve_267
3.75862068965517,reserve_268
5.83333333333333,reserve_269
11,reserve_270
7.05,reserve_271
4.37209302325581,reserve_272
6,reserve_273
5.94736842105263,reserve_274
3.6,reserve_275
6.3,reserve_276
3.53333333333333,reserve_277
6.8421052631579,reserve_278
7.33333333333333,reserve_279
8,reserve_280
2.71111111111111,reserve_281
12,reserve_282
3.52380952380952,reserve_283
5.71052631578947,reserve_284
5.81111111111111,reserve_285
6.16666666666667,reserve_286
3.01626016260163,reserve_287
4,reserve_288
4.18918918918919,reserve_289
4.44444444444444,reserve_290
4.33333333333333,reserve_291
8.18181818181818,reserve_292
5.14285714285714,reserve_293
9.16666666666667,reserve_294
8,reserve_295
6.33333333333333,reserve_296
3.3,reserve_297
5.66666666666667,reserve_298
5.48936170212766,reserve_299
9.22222222222222,reserve_300
7.88461538461539,reserve_301
2.0625,reserve_302
3.85714285714286,reserve_303
4.78571428571429,reserve_304
7.33333333333333,reserve_305
9.27777777777778,reserve_306
5.42051282051282,reserve_307
6.73913043478261,reserve_308
8,reserve_309
6.37037037037037,reserve_310
7.66666666666667,reserve_311
6.72727272727273,reserve_312
4.4,reserve_313
9.16787264833575,reserve_314
5.71428571428571,reserve_315
11.25,reserve_316
7.875,reserve_317
8.06779661016949,reserve_318
8.6,reserve_319
7.63636363636364,reserve_320
34.5,reserve_321
3.76923076923077,reserve_322
6.92857142857143,reserve_323
6.125,reserve_324
3.86666666666667,reserve_325
6,reserve_326
5.62162162162162,reserve_327
4.31034482758621,reserve_328
6.66666666666667,reserve_329
3.71875,reserve_330
5.83984375,reserve_331
6.58974358974359,reserve_332
8.1025641025641,reserve_333
4.70175438596491,reserve_334
7.13888888888889,reserve_335
6.6,reserve_336
8,reserve_337
7.4375,reserve_338
4.55555555555556,reserve_339
6.79285714285714,reserve_340
5.81818181818182,reserve_341
9.3125,reserve_342
8.64818355640535,reserve_343
