Binomial.1.2,order,family,genus,iucn_status,common_name,guild_with_omnivore,guild_only_herbivory,fermentation_simple,trophic_level_herbivore,source_herbi,herbivore_fg_own,herbi_body_mass_bins,mass_kg,mass_kg_carni,maximum_prey_size,largest_accessible_prey_size,prey_range_bins,group_hunting,hunting_style,carnivore_fg_own,source_carni,trophic_level_carni,trophic_level,species,browser,grazer,mixed_feeder,omnivore,feeding_type,fermentation_type,mr_mass_kg,hempson_herbivore_group,trophic_level_hempson
Antilope_cervicapra,Cetartiodactyla,Bovidae,Antilope,NT,Blackbuck,Grazer,Grazer,Foregut,small herbivore,HerbiTRAITS,s1GrazerForegut,5,37.5,,,,,,,,,,small herbivore,Antilope cervicapra,0,1,0,0,Grazer,Foregut,28.125,,
Aonyx_capensis,Carnivora,Mustelidae,Aonyx,NT,,,,,small herbivore,Phylacine,not_complete,3,18.9998,,,,,,,,,,small herbivore,Aonyx capensis,,,,,Predator,Shortgut,14.24985,,
Aonyx_congicus,Carnivora,Mustelidae,Aonyx,NT,,,,,small herbivore,Phylacine,not_complete,4,23.8002,,,,,,,,,,small herbivore,Aonyx congicus,,,,,Predator,Shortgut,17.85015,,
Arabitragus_jayakari,Cetartiodactyla,Bovidae,Arabitragus,EN,Arabian Tahr,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,4,23,,,,,,,,,,small herbivore,Arabitragus jayakari,1,0,0,0,Browser,Foregut,17.25,,
Arctocephalus_australis,Carnivora,Otariidae,Arctocephalus,LC,,,,,medium herbivore,Phylacine,not_complete,5,45,,,,,,,,,,medium herbivore,Arctocephalus australis,,,,,Predator,Shortgut,33.75,,
Arctocephalus_forsteri,Carnivora,Otariidae,Arctocephalus,LC,,,,,large herbivore,Phylacine,not_complete,7,101.25,,,,,,,,,,large herbivore,Arctocephalus forsteri,,,,,Predator,Shortgut,75.9375,,
Arctocephalus_galapagoensis,Carnivora,Otariidae,Arctocephalus,EN,,,,,small herbivore,Phylacine,not_complete,4,27,,,,,,,,,,small herbivore,Arctocephalus galapagoensis,,,,,Predator,Shortgut,20.25,,
Arctocephalus_gazella,Carnivora,Otariidae,Arctocephalus,LC,,,,,medium herbivore,Phylacine,not_complete,7,97.5,,,,,,,,,,medium herbivore,Arctocephalus gazella,,,,,Predator,Shortgut,73.125,,
Arctocephalus_philippii,Carnivora,Otariidae,Arctocephalus,LC,,,,,medium herbivore,Phylacine,not_complete,7,95,,,,,,,,,,medium herbivore,Arctocephalus philippii,,,,,Predator,Shortgut,71.25,,
Arctocephalus_pusillus,Carnivora,Otariidae,Arctocephalus,LC,,,,,large herbivore,Phylacine,not_complete,8,178.5,,,,,,,,,,large herbivore,Arctocephalus pusillus,,,,,Predator,Shortgut,133.875,,
Arctocephalus_townsendi,Carnivora,Otariidae,Arctocephalus,LC,,,,,large herbivore,Phylacine,not_complete,7,105,,,,,,,,,,large herbivore,Arctocephalus townsendi,,,,,Predator,Shortgut,78.75,,
