x,y,term,method,mean_rel_imp,sd_rel_imp,clean_term,responseGroup,tier,tier_label,response,response_tier
15.4694559748428,0.284516924743227,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
15.7161886792453,0.291192929466199,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
15.9629213836478,0.291607712248241,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
16.2096540880503,0.29426382018009,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
16.4563867924528,0.305180552874912,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
16.7031194968554,0.308886144702377,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
16.9498522012579,0.321674161810326,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
17.1965849056604,0.354155957741783,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
17.4433176100629,0.467737710175333,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
17.6900503144654,0.552084627562573,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
17.9367830188679,0.598511530788076,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
18.1835157232705,0.610834081149966,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
18.430248427673,0.602525136924857,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
18.6769811320755,0.639384216357711,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
18.923713836478,0.647708853163229,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
19.1704465408805,0.67872974481404,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
19.417179245283,0.697783725278688,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
19.6639119496855,0.712380644102144,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
19.9106446540881,0.717274645164903,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
20.1573773584906,0.728756881249469,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
20.4041100628931,0.752365182843532,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
20.6508427672956,0.755718851347908,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
20.8975754716981,0.77307162275201,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
21.1443081761006,0.776323032272264,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
21.3910408805032,0.786356188969794,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
21.6377735849057,0.783183325582723,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
21.8845062893082,0.783524014963324,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
22.1312389937107,0.783939254910989,MAT,ensemble,22.7177843647788,2.19052314843278,MAT (°C),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
505.553404947092,0.524502933043934,browser_biomass_kgkm2,ensemble,2.71950432661034,0.963502144455927,Browser biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
1011.10680989418,0.543493206989932,browser_biomass_kgkm2,ensemble,2.71950432661034,0.963502144455927,Browser biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
1516.66021484128,0.55538072952805,browser_biomass_kgkm2,ensemble,2.71950432661034,0.963502144455927,Browser biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
2022.21361978837,0.56170294239708,browser_biomass_kgkm2,ensemble,2.71950432661034,0.963502144455927,Browser biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
2527.76702473546,0.574265627874818,browser_biomass_kgkm2,ensemble,2.71950432661034,0.963502144455927,Browser biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
3033.32042968255,0.585435941179903,browser_biomass_kgkm2,ensemble,2.71950432661034,0.963502144455927,Browser biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
3538.87383462964,0.572413105288321,browser_biomass_kgkm2,ensemble,2.71950432661034,0.963502144455927,Browser biomass (kg/km²),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
3.14284261096249,0.423613446482324,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
5.23232592076921,0.438755142671344,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
7.32180923057593,0.442786780616818,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
9.41129254038266,0.442582464777338,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
11.5007758501894,0.443226401050509,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
13.5902591599961,0.48252982415468,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
15.6797424698028,0.522954850035947,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
17.7692257796096,0.54745979040441,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
19.8587090894163,0.58914572974459,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
21.948192399223,0.608469771918126,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
