species,mass_kg
Syncerus caffer,580.0027
Damaliscus pygargus,102
Aepyceros melampus,52.5001
Oryx gazella,169.0013
Antidorcas marsupialis,31.5
Hippotragus niger,227.4993
Tragelaphus angasii,86.6004
Tragelaphus oryx,569.9936
Dama dama,56.25
Oreotragus oreotragus,12.9999
Tragelaphus strepsiceros,213.501
Kobus leche,110.749
Redunca arundinum,58.0003
Redunca fulvorufula,29.4999
Alcelaphus buselaphus,171.0015
Pelea capreolus,20
Kobus ellipsiprymnus,210.0003
Connochaetes gnou,179.999
Connochaetes taurinus,179.999
Equus zebra,240
Sylvicapra grimmia,19.4998
Raphicerus campestris,10.5
Loxodonta africana,4400
Ceratotherium simum,2949.9863
Tragelaphus scriptus,43.2504
Giraffa camelopardalis,899.9948
Phacochoerus africanus,82.5
Equus quagga,175
Potamochoerus larvatus,97.5
Papio ursinus,27.9391
Raphicerus melanotis,10.2499
Equus ferus,200
Diceros bicornis,1180.5109
Hippopotamus amphibius,1417.49
Ourebia ourebi,17.25
Ovis orientalis,60
Bos primigenius,400
Camelus dromedarius,800
Hippotragus equinus,269.9977
