SiteID,max_species_body_mass,mean_species_body_mass,median_species_body_mass,CW_max_species_body_mass,CW_mean_species_body_mass,CW_median_species_body_mass,herbivore_fg_own,carnivore_fg_own,hempson_fg,trophic_groups,trophic_groups_hempson,carnivore_fg_own_simple,herbivore_fg_own_simple,total_biomass_ha,total_m_biomass_ha,m_herbi_biomass_ha,n_species_reserve,n_herbi_sp_reserve,elephant_biomass_ha,white_rhino_biomass_ha,white_rhino_yn,browser_biomass_ha,grazer_biomass_ha,mixed_feeder_biomass_ha,grazer_browser_ratio,grazer_mixed_ratio,browser_mixed_ratio,herbi_biomass_ha,prop_biomass_w_occasional_predator,prop_biomass_w_regular_predator,prop_species_w_occasional_predator,prop_species_w_regular_predator,herbi_fun_red,herbi_fun_div_distq1,herbi_fun_ent,predator_biomass_ha,farm_size_ha,reserve_name,year_to_wildlife
A1,213.501,71.312675,54.37505,19.4416135581248,4.03123222558114,1.26524864984156,8,0,5,3,5,0,3,27.6080926092712,20.7060694569534,20.7060694569534,12,12,0,,,0.946987995445671,0.578799990864228,26.0823046229613,0.611200979999576,0.0221912901958321,0.0363076809789269,27.6080926092712,,,0,0,0.15,1.82770496434415,10,,2927.17670480653,JJK Botha Trust,1984
A2,82.5,39.500025,36.37515,21.5387521906632,6.7901167666666,4.33677130610993,5,0,3,2,3,0,2,1.23548255794278,0.926611918457087,0.926611918457087,8,8,0,,,0.296164139492385,0.437891884059997,0.501426534390401,1.47854458277943,0.873292205392272,0.590643133499987,1.23548255794278,,,0,0,0.107142857142857,3.96633267957969,7,,383.656003035174,Rademeyer en seuns (modderfontien farm),
A3,899.9948,226.968638461538,169.0013,226.140092108356,24.8095101197282,3.75720366120257,8,0,4,3,4,0,3,50.5252361192983,64.6731025968517,64.6731025968517,13,13,0,,,9.85500893904488,2.66818940661711,38.0020377736363,0.270744493802124,0.0702117455519228,0.259328433852611,50.5252361192983,,,0,0,0.0705128205128205,2.11069208292711,12,,3080.75205591264,Rietvallei landgoed,1985
A4,213.501,86.3183818181818,60,43.9927383449387,5.65902463728596,1.90551399810945,7,0,5,3,5,0,3,30.817062588086,23.1127969410645,23.1127969410645,11,11,0,,,3.45550004396758,0.0661775278722695,27.2953850162462,0.0191513607380207,0.00242449512373175,0.12659649394617,30.817062588086,,,0,0,0.0818181818181818,1.7628806147528,10,,5836.57341727102,Rooikuil Trust,1990
A5,569.9936,144.544945454545,60,204.33575366112,31.8188157736462,2.26415891779242,8,0,5,3,5,0,3,0.337035995793328,0.332266898458799,0.332266898458799,11,11,0,,,0.0767344212696481,0.0237409627513488,0.236560611772331,0.309391305212585,0.10035889987551,0.32437530785344,0.337035995793328,,,0,0,0.141414141414141,2.73515758306186,9,,7076.37056506715,Coetzeeberg boerdery,2011
A6,97.5,48.8333555555556,54.9997,59.7576078297555,7.50428132097483,0.0325842791904445,6,1,3,3,4,1,2,62.2821473136839,46.711610485263,46.6796480501046,9,8,0,,,0.134630617924603,0.0639252189997932,62.0409748965484,0.474819324052966,0.00103037096219695,0.00217002743991525,62.2395307334728,1,1,1,1,0.107142857142857,1.02086934070375,7,0.042616580211187,1935.85570665625,Zuuranys,2007
CH1,569.9936,127.699625925926,82.5,57.3951670831217,4.76073983277876,0.366134356668486,11,3,5,5,7,2,3,55.0016626946582,48.6323397967305,48.5335069644634,27,24,0,,,0.388738241757466,1.44201378390804,53.0391335593032,3.70947241359319,0.0271877326633875,0.00732927209911558,54.8698855849687,1,0.989776600653653,1,0.958333333333333,0.223039215686275,1.71481220493761,17,0.131777109689488,1524.16455690424,Leopard Valley Safaris,2016
CH10,899.9948,166.012245833333,92.0502,102.168930384431,15.0697118713979,1.52792994219645,10,2,5,5,7,2,3,62.2414946969888,46.6811210227416,46.6553151821867,23,21,0,,,28.0921226907002,5.02369066628392,29.0912735525982,0.178829158678956,0.172687203164237,0.965654619413913,62.2070869095823,0.937106411560307,0.243855984929449,0.954545454545455,0.590909090909091,0.214285714285714,2.76965158557216,14,0.0344077874065553,9201.396656493,Amaraka Investments (Fort Governers Safaris),2014
CH2,1417.49,228.18328,102,167.991856729134,16.0322477432017,2.35956348612194,11,0,5,4,5,0,4,138.591836819332,103.943877614499,103.943877614499,25,25,0,,,18.1168207764079,28.8050094203201,91.6700066226039,1.58995939606748,0.31422501733754,0.197630843979241,138.591836819332,,,0,0,0.189473684210526,2.85388990792389,19,,1011.42151960026,Mayfair hunting,2013
CH7,899.9948,178.559653333333,106.3745,223.078752817605,13.8005470053378,0.650764653686415,11,2,5,5,7,2,3,52.2771332881171,40.2306032316155,40.2212154332203,30,28,0,,,10.0154707873536,13.7189021332258,28.5302433030108,1.36977106962845,0.480854719236762,0.351047507060574,52.2646162235902,0.965394408548931,0.0475610406748068,0.964285714285714,0.464285714285714,0.253759398496241,2.40701682150486,19,0.0125170645268789,6966.48961206108,Buccara Private Wildlife Reserve,2011
