WDPA_PID,canopy_height_sd100,canopy_height_mean,tree_cover_sd100,tree_cover_mean
555564155,2.68890355698662,1.10811444298339,8.34628118219988,4.48104186286535
555564156,0.805035440707258,0.408829482128504,3.19206922333724,2.05194411155243
555564157,7.52928910796248,10.7011687297524,22.9803103058538,47.5705833662734
555564158,5.65298236625689,6.9314428546359,15.390976056711,25.9490443755059
555570167,0.681089327542776,0.354080227865001,1.53014947981113,0.986126893802214
555570168,2.83123390814277,2.37235439686506,8.10609152237009,7.840993067555
555570169,0.224115699610928,0.0789738165628519,0.574306319789302,0.253016241965111
555570170,0.501087870627083,0.253611796052942,1.56842733340266,0.884386585442871
555570171,1.57399018525199,0.632828365177756,3.66537575438355,1.78951483477531
555570172,1.27635923792042,0.842176891486267,2.81112508904488,1.79503168697136
555570173,5.1958509672346,3.74816843603459,12.5936735355982,11.1369548518913
555570174,2.86878948729481,2.12506286940551,10.4706344865565,9.08189133466109
555570175,3.56120512648384,2.71147936026393,10.1567663242775,9.48174053440051
555570176,2.45897857911152,2.19027110403542,7.8327153169815,8.81423085737244
555570177,0.796193499428511,0.318780605297031,1.68121493154628,0.814147155400869
555570178,1.16374490186245,0.490640117759998,2.98730008393314,1.54398889539869
555570179,0.0547579316681044,0.0160378809458521,0.228766416780473,0.0758269614846264
555570180,0.0812859006901737,0.0294833450828296,0.349049718175279,0.147735806025116
555570181,2.7356151097404,1.71779066572844,5.18948077874726,3.60548246667305
555570182,1.87270671553282,1.42958290707666,5.66792828716751,5.20156494454913
555570184,0.463167148324835,0.229356698665337,1.30554690987277,0.805866453089678
555570185,2.49051204015544,1.37459029153248,7.79747807484359,5.34962450806434
555570186,0.260701462540681,0.13763465482909,1.09390924181879,0.725209931910349
555570187,0.755896204653493,0.383115974328369,2.62614534841288,1.66195022143964
555570188,0.868544966833721,0.374793174985089,4.53393547632579,2.42090888723404
555570189,2.03952469965887,1.54640000261414,5.68614215123094,5.48200368044446
555570190,2.29883825060029,2.02855281041732,5.10638552380977,5.3298851269467
