reserve_name,area_ha,max_species_body_mass,mean_species_body_mass,median_species_body_mass,CW_max_species_body_mass,CW_mean_species_body_mass,CW_median_species_body_mass,n_species_reserve,n_herbi_sp_reserve,elephant_biomass_ha,browser_biomass_ha,grazer_biomass_ha,mixed_feeder_biomass_ha,grazer_browser_ratio,grazer_mixed_ratio,browser_mixed_ratio,herbi_biomass_ha,herbi_fun_red,herbi_fun_div_distq1,herbi_fun_ent,predator_biomass_ha,establishment_year,source,elevation_sd_1000,elevation_mean,MAT,MAP,Biome,days_since_last_fire,fire_events_since_2001,prop_burned_area,n_deposition,tree_cover_sd_50,tree_cover_sd_100,tree_cover_sd_500,tree_cover_mean,canopy_height_sd_50,canopy_height_sd_100,canopy_height_sd_500,canopy_height_mean,woody_cover_sd_venter2019,woody_cover_trend_significance_sd_venter2019,woody_cover_trend_sd_venter2019,woody_cover_mean_venter2019,woody_cover_trend_significance_venter2019,woody_cover_trend_venter2019,spatial_predictor1,spatial_predictor2,spatial_predictor3,spatial_predictor4,spatial_predictor5,n_reserves_biome,herbi_biomass_kgkm2,grazer_biomass_kgkm2,mixed_feeder_biomass_kgkm2,browser_biomass_kgkm2,elephant_biomass_kgkm2
Mokala National Park,25983.4777669471,2949.9863,334.322744,169.0013,445.531822362427,31.3480047388827,2.48376158845623,25,24,0,9.98143399148498,25.5411549544076,23.864369260407,2.55886628877137,1.07026314736013,0.418256769435974,59.3869582062995,0.18640350877193,3.48427224694992,19,0.000160506227742354,2007,SANParks,5.8464572127014,1180.28786193048,18.2652046783626,409.801754385965,Savanna,7103.55117449664,0.120805369127517,0.00671140939597315,328.569213867188,9.25118737700851,11.4166299297336,14.5979312283664,10.5537572485943,0.211028684203952,0.268133186433625,0.349163241632733,0.189970123204476,0.0505621483598043,0,0.31014403782857,0.291069226360962,1,0.292614527942634,-0.0157491326259897,-0.0159709746829745,-0.0155376810925302,-0.0149607926397592,-0.0155502113038438,203,5938.69582062995,2554.11549544076,2386.4369260407,998.143399148498,0
Addo-Elephant National Park,137741.624773986,4400,362.298520833333,99.75,2759.07299654439,139.037746785884,0.887861622597558,24,21,20.7954567451928,4.8461093253059,3.8656430928101,24.4515635918075,0.797679712387853,0.158093901778343,0.198192205873067,33.1633160099235,0.119047619047619,2.63126716006587,18,0.0207758032816559,1931,SANParks,33.5617751202174,330.6278090595,18.0456661316212,475.329588014981,Albany Thicket,6653.22369034665,0.317736670293798,0.0990206746463547,187.244827270508,7.30681043948838,10.8180161882172,20.3355622182906,41.7693506632507,0.497689182603101,0.738341784863902,1.32716665073545,1.99010227647288,0.289253769103565,0,0.584755935799521,0.566743680068807,1,0.102606630371444,-0.0687220516409075,-0.0671238496344867,-0.0675105721203656,-0.0652383118298643,-0.0626704146838767,87,3316.33160099235,386.56430928101,2445.15635918075,484.61093253059,2079.54567451928
Mountain Zebra National Park,20247.2489346132,1180.5109,172.473504166667,82.03775,88.2160999508301,13.2937805603871,0.947906876353757,24,20,0,5.14425860206325,24.4768393721272,7.62584136040552,4.75808882592139,3.20972312631816,0.674582430834844,37.2469393345959,0.15,3.16913749803893,16,0.0980258590393982,1937,SANParks,35.9020159002241,1277.13654469349,14.7964285714286,469.858928571428,Grassland,6807.4248434238,0.233820459290188,0.00835073068893528,217.168685913086,2.14729603099243,3.18803710368004,6.14241875100777,2.20197560537939,0.0532285042820535,0.0805546853585969,0.163547689906804,0.0512538660863787,0.0883514976550888,0,0.345914453813045,0.274673282618448,1,0.618772113025937,-0.0548102506678156,-0.0545615122246111,-0.0552941532998343,-0.0580352927673877,-0.0577021860326035,33,3724.69393345959,2447.68393721272,762.584136040552,514.425860206325,0
Camdeboo National Park,18686.229412485,580.0027,138.234157894737,81.5755,120.694833022577,15.7022648027272,0.706521785450087,19,18,0,7.50016470451553,7.46902309819386,8.94401197591709,0.995847877006898,0.835086437529956,0.838568276150646,23.9131997786265,0.158730158730159,2.83430887853725,14,0.000294332787990136,2005,SANParks,39.9582379783284,951.436722750549,16.7623505976096,389.431075697211,Albany Thicket,7305,0,0,216.466339111328,6.88433835228082,10.3390381614623,19.2729902437661,14.3215646592958,0.186339868718524,0.280189228108762,0.551674804412717,0.342298926856731,0.131655190543066,0,0.526248714785789,0.336581623455515,1,0.314458307278109,-0.0529326423609751,-0.0528229719540892,-0.0522107772009016,-0.0544680454922533,-0.0585449896075521,87,2391.31997786265,746.902309819386,894.401197591709,750.016470451553,0
Agulhas National Park,21032.3648239608,171.0015,62.929675,43.875,23.6128171552069,5.18604884530849,1.55251162340258,8,8,0,0.142125891454419,0.00813039814739183,0.0335553565139754,0.0572056088035114,0.24229807077167,4.23556493566759,0.183811646115787,0,2.02457113009492,8,,1998,SANParks,11.5321921180732,75.0567214111922,16.9258064516129,505.099596774193,Fynbos,4710.16939252337,0.991822429906542,0.0724299065420561,99.2993965148926,2.33177057209432,3.79515696800884,8.45191110226057,2.93361444874696,0.0410942977948025,0.0672174831619007,0.166052571685628,0.0464704512206537,0.144603100837128,0,0.910372205638868,0.507291148257214,1,-0.36880499130604,-0.0187822723414389,-0.0196033677831362,-0.0191005012260481,-0.0181926400362971,-0.018037596004612,39,18.3811646115787,0.813039814739183,3.35553565139754,14.2125891454419,0
Bontebok National Park,3413.73592260439,240,108.55024,102,63.723632286674,27.3444877874355,16.156420386261,5,5,0,0.0228486332183812,5.97326564277511,7.58047777763005,261.427700540518,0.787980100726921,0.00301414157374189,13.5765920536235,0,2.31518355583322,5,,1931,SANParks,10.9451663090997,91.6411914560063,17.6125,521.966666666667,Fynbos,5434.03703703704,0.796296296296296,0.240740740740741,94.8234405517578,1.40306933894766,2.17329046178032,5.28722490109055,1.62905529874965,0.0469639309089294,0.0746459607154599,0.20448288743296,0.046631502761129,0.0889579673626597,0,0.469860815163248,0.385380995384678,1,0.0885906604106796,-0.0237086048703393,-0.024323784658383,-0.0239104025809006,-0.0226636450274343,-0.0213567072407503,39,1357.65920536235,597.326564277511,758.047777763005,2.28486332183812,0
Golden Gate Highlands National Park,33094.2441387319,569.9936,128.969144444444,69.7879,84.6177902088504,14.0598171104906,0.167247578042313,18,18,0,0.808750713803901,27.1992452653276,40.8402505128733,33.6311854828516,0.6659911465713,0.0198027853318131,68.8482464920049,0.158730158730159,2.90715817720657,14,,1963,SANParks,50.0918119671279,1951.60393625359,12.3635944700461,897.509216589861,Grassland,1335.60565275908,7.74024226110363,0.909152086137281,527.364074707031,2.22596782621262,3.47897848714206,6.82912223038237,2.33851427328474,0.0536518848294807,0.0850272567425907,0.180760266718934,0.052013174629736,0.0845075362020222,0,0.403032101894682,0.408824323557346,1,0.529314039876573,0.0031256701488714,0.00369691811057297,0.00372347736405348,0.00412647710970581,0.00403277836111472,33,6884.82464920049,2719.92452653276,4084.02505128733,80.8750713803901,0
Karoo National Park,82231.7896624952,1180.5109,166.204345,68.74985,180.490649829078,20.5224974409084,0.0701960450380086,20,17,0,1.89888505942632,4.06738389463201,5.32896445034884,2.14198530576718,0.763259716316133,0.356332844236185,11.2952334044072,0.0551470588235294,2.98866520623826,16,0.0282148499932039,1979,SANParks,32.5213693378588,1065.56393706805,16.9358906525574,290.396119929453,Nama-Karoo,7030.37887721097,0.078185080748526,0.0581902076390669,156.441436767578,3.8430100382845,5.875410776596,11.1332218967592,7.01762660719831,0.0613170029021883,0.0925045359936101,0.179485052750662,0.0962764855917026,0.0989450834310817,0,0.288502118944091,0.12382789404787,1,0.205359462655662,-0.0319890132034825,-0.0329365969322448,-0.0320997185352705,-0.0321685687257104,-0.0340747037135915,33,1129.52334044072,406.738389463201,532.896445034884,189.888505942632,0
Marakele National Park,58618.5433227892,4400,403.119490909091,97.5,1834.73556589861,101.133614220862,0.119954267301179,33,28,22.1431636888762,4.67713276309635,20.2752926336868,28.1505514255669,4.33498334570777,0.720244954607617,0.16614710995851,53.1029768223501,0.185064935064935,2.53849715029405,22,0.107403487755254,1994,SANParks,40.3048569517596,1359.41027728377,18.4010638297872,627.550930851064,Savanna,2057.46617703904,5.33049864708156,0.78391959798995,663.142456054688,7.97614502018615,10.8367721614473,16.908152934506,15.7759328517553,0.283523982586296,0.388354909482706,0.621692055733064,0.491136966983769,0.107077170036994,0,0.432863635362869,0.441652143125458,1,0.259226098420281,0.0612384967182763,0.0597425047247169,0.0591036556612226,0.0575687684481975,0.0557802787397345,203,5310.29768223501,2027.52926336868,2815.05514255669,467.713276309635,2214.31636888762
Kruger National Park,1917161.30057939,4400,466.3412,136.0003,3017.09463411327,121.68551121119,0.0837968048832218,31,27,72.365533332053,5.44152602439724,12.1518411973261,87.9413889840973,2.23316789129428,0.138181137888595,0.0618767350306605,105.534756205821,0.207407407407407,2.20687155385506,20,0.460879842469682,1926,SANParks,6.88052469297608,343.960246170142,22.7207572363884,551.802674879392,Savanna,4134.18060137972,2.52804439112178,0.499275144971006,262.991798400879,7.8503862988616,10.2990203572299,14.3957542024185,11.4326502705762,0.252510659613723,0.340972656222429,0.498479638186815,0.293932763011752,0.0917863085961259,0,0.431808124967333,0.400119541958064,1,0.39046757374639,0.0298584285333347,0.0305706655427425,0.0297355856654056,0.0292063427443853,0.0309475762345614,203,10553.4756205821,1215.18411973261,8794.13889840973,544.152602439724,7236.5533332053
