NAME,WDPAID,WDPA_PID,PA_DEF,ORIG_NAME,DESIG_ENG,DESIG_TYPE,GIS_AREA,STATUS,VERIF,MAP,MAT,elevation_mean,Biome,fire_events_since_2001,n_deposition,prop_burned_area,woody_trend_venter2019,spatial_predictor1,spatial_predictor2,spatial_predictor3,spatial_predictor4,spatial_predictor5
Kruger National Park,873,873,1,Kruger National Park,National Park,National,19171.6130057939,Designated,State Verified,551.802674879392,22.7207572363884,343.960246170142,Savanna,2.52804439112178,262.991798400879,0.792279044191162,0.390467573746381,0.0157325190413355,0.0152893205096628,0.0152342815491614,0.0157944538175103,0.0153963881358805
Kalahari Gemsbok National Park,874,874,1,Kalahari Gemsbok National Park,National Park,National,9589.55020962101,Designated,State Verified,203.818885058437,21.366614815438,972.126558108805,Savanna,0.397887323943662,185.660034179688,0.341842723004695,0.0808326687198248,-0.00499154413224451,-0.00469699469509249,-0.00443000946264965,-0.00426578815326778,-0.00425717348071242
Addo-Elephant National Park,875,875,1,Addo-Elephant National Park,National Park,National,1377.41624773986,Designated,State Verified,475.329588014981,18.0456661316212,330.6278090595,Albany Thicket,0.317736670293798,187.244827270508,0.132286646976527,0.102606630371444,-0.014614523818906,-0.0142407367041312,-0.013728231999145,-0.0146163029747984,-0.0162767542821689
Karoo National Park,876,876,1,Karoo National Park,National Park,National,822.317896624952,Designated,State Verified,290.396119929453,16.9358906525574,1065.56393706805,Nama-Karoo,0.078185080748526,156.441436767578,0.0581902076390669,0.20535946265566,-0.0269066147181051,-0.026316924149085,-0.0285545391172274,-0.0318441118334641,-0.0352993870621013
Mountain Zebra National Park,877,877,1,Mountain Zebra National Park,National Park,National,202.472489346132,Designated,State Verified,469.858928571428,14.7964285714286,1277.13654469349,Grassland,0.233820459290188,217.168685913086,0.150313152400835,0.618772113025939,-0.0120720841179805,-0.0115640688103746,-0.0121979844444759,-0.0126286683993098,-0.0141370121362313
Augrabies Falls National Park,878,878,1,Augrabies Falls National Park,National Park,National,493.537407102078,Designated,State Verified,122.591007751938,21.5962015503876,652.756555847743,Nama-Karoo,0,135.888359069824,0,0.128164311110575,-0.0121451996743002,-0.011407826077597,-0.0106642127973951,-0.0103316295263048,-0.0108607023142088
Golden Gate Highlands National Park,879,879,1,Golden Gate Highlands National Park,National Park,National,330.942441387319,Designated,State Verified,897.509216589861,12.3635944700461,1951.60393625359,Grassland,7.74024226110363,527.364074707031,0.997308209959623,0.529314039876571,0.00887592482403879,0.008542022936779,0.00836465153160619,0.00821112381845741,0.00955188270869925
Garden Route National Park,881,881,1,Garden Route National Park,National Park,National,1257.88700275057,Designated,State Verified,851.444187779434,15.7228763040238,456.103445619441,Fynbos,0.75,133.22182337443,0.565450643776824,-0.466450460582893,-0.0292606368544415,-0.0279658727881201,-0.0293597762324358,-0.0296302377013524,-0.0294092395157503
Bontebok National Park,882,882,1,Bontebok National Park,National Park,National,34.1373592260439,Designated,State Verified,521.966666666667,17.6125,91.6411914560063,Fynbos,0.796296296296296,94.8234405517578,0.623456790123457,0.0885906604106795,-0.0530952991261656,-0.0544367162411359,-0.0584398369267745,-0.0567971406632208,-0.0566685185876218
Itala Nature Reserve,1350,1350,1,Itala Nature Reserve,Nature Reserve,National,290.608094671487,Designated,State Verified,774.151436031332,18.5742819843342,754.052870053437,Savanna,1.79756468797565,524.297241210938,0.649162861491629,0.84721758305423,0.0112204978530224,0.010729957708728,0.0103530547847593,0.0107775169520188,0.011349785766415
Umtamvuna Nature Reserve,1353,1353,1,Umtamvuna Nature Reserve,Nature Reserve,National,27.353069431604,Designated,State Verified,1158.68461538462,19.3423076923077,297.685128983308,Indian Ocean Coastal Belt,3,381.472930908203,0.692913385826772,0.0895825897280023,0.00205761288963933,0.00221010202354585,0.00178443908675771,0.00160600137180359,0.00174133074042501
Tussen-die-Riviere Game Farm,1354,1354,1,Tussen-die-Riviere Game Farm,Nature Reserve,National,182.724706417878,Designated,State Verified,524.038955823293,16.7391566265061,1320.06238098865,Grassland,0.0454545454545455,435.373474121094,0.0454545454545455,0.442915035210488,-0.00464801733355962,-0.00448979729339055,-0.00456862464155234,-0.00447751820237468,-0.00399396631948763
Willem Pretorius Game Reserve,1355,1355,1,Willem Pretorius Game Reserve,Nature Reserve,National,120.978221876134,Designated,State Verified,572.307594936709,16.5772151898735,1394.25575522669,Grassland,0.39344262295082,556.246032714844,0.331511839708561,0.356616007555102,0.00690717575245414,0.0067962801570075,0.00632079215563254,0.00625284903099136,0.00692746446758423
Suikerbosrand Nature Reserve,1357,1357,1,Suikerbosrand Nature Reserve,Nature Reserve,National,113.3314773925,Designated,State Verified,782.330263157894,15.0875,1710.50677869009,Savanna,5.12426035502959,1515.59973144531,0.978303747534517,0.618982262505153,0.0179246418819643,0.0179752085149521,0.018918564447769,0.0206635290658362,0.0219761958420275
Goukamma Provincial Nature Reserve,4026,4026,1,Goukamma Provincial Nature Reserve,Nature Reserve,National,23.0963202554701,Designated,State Verified,771.1,17.1921052631579,64.7395514780836,Albany Thicket,0.615384615384615,91.3839874267578,0.584615384615385,-0.383780045607357,-0.0319272041166924,-0.0319824304576876,-0.0317446146516359,-0.0315717246087584,-0.0321929540173615
Gamka Mountain Provincial Nature Reserve,4027,4027,1,Gamka Mountain Provincial Nature Reserve,Nature Reserve,National,95.9197969125264,Designated,State Verified,551.827611940298,14.7149253731344,790.520459641256,Fynbos,0.982570806100218,133.893569946289,0.899782135076253,0.512166958632799,-0.0401096993496238,-0.0395318848583138,-0.0376995693533969,-0.0401212934004792,-0.0480182157825411
Rolfontein Provincial Nature Reserve,4028,4028,1,Rolfontein Provincial Nature Reserve,Nature Reserve,National,63.2210572166086,Designated,State Verified,370.116049382716,17.812962962963,1244.68486187845,Grassland,0.0305084745762712,286.997360229492,0.00677966101694915,0.447342811219314,-0.00755107677069926,-0.00712293287954156,-0.00691118650850624,-0.00667363961854631,-0.00625293073786846
De Hoop Nature Reserve,4029,4029,1,De Hoop Nature Reserve,Nature Reserve,National,339.000286237074,Designated,State Verified,561.437799043062,16.9141148325359,134.931786594934,Fynbos,0.498616874135546,94.8234405517578,0.493084370677732,-0.804005602878098,-0.0501868071126625,-0.0501878078203815,-0.0531722227980322,-0.0556268791781596,-0.0552847096822648
Vrolijkheid Nature Reserve,4031,4031,1,Vrolijkheid Nature Reserve,Nature Reserve,National,19.6280645283128,Designated,State Verified,344.6125,16.70625,328.360750853242,Fynbos,0,130.378295898438,0,0.381785277679575,-0.0589498337196133,-0.0615481554174492,-0.0596019690066872,-0.0566703968305589,-0.054983866475679
Commandodrift Nature Reserve,4033,4033,1,Commandodrift Nature Reserve,Nature Reserve,National,57.4457633155787,Designated,State Verified,380.19746835443,17.0145569620253,1051.07571428571,Nama-Karoo,0,267.36190032959,0,0.443036400400683,-0.00972334754623407,-0.00941343247638284,-0.00968070700699769,-0.0103615694101154,-0.0106230072356607
Oviston Nature Reserve,4034,4034,1,Oviston Nature Reserve,Nature Reserve,National,323.119339980828,Designated,State Verified,403.487731481482,17.1907407407408,1271.56418744626,Nama-Karoo,0.00399467376830892,361.662109375,0.00399467376830892,0.29818649000149,-0.00661420240590188,-0.00638194651230615,-0.00631354538365307,-0.00614221800865657,-0.00579581146515842
Camdeboo National Park,4035,4035,1,Camdeboo National Park,National Park,National,186.86229412485,Designated,State Verified,389.431075697211,16.7623505976096,951.436722750549,Albany Thicket,0,216.466339111328,0,0.314458307278109,-0.0158401831732339,-0.0150087013618527,-0.0167273629257967,-0.0182618983943303,-0.0194940733830276
Oribi Gorge Nature Reserve,4759,4759,1,Oribi Gorge Nature Reserve,Nature Reserve,National,18.6212115584716,Designated,State Verified,1132.87037037037,18.8388888888889,382.655621742368,Indian Ocean Coastal Belt,0.0348837209302326,477.757568359375,0.0348837209302326,0.0191059837328735,0.00302947848724195,0.00300711533948047,0.00241713677816704,0.0023896130856924,0.00269648635202547
Loskop Dam Nature Reserve,4763,4763,1,Loskop Dam Nature Reserve,Nature Reserve,National,235.908362549757,Designated,State Verified,722.888196721312,18.766393442623,1166.64797603977,Savanna,4.104662226451,1240.28076171875,0.885823025689819,0.623833346784078,0.0233253441695757,0.0233009169135986,0.0246820589359315,0.0265515078123538,0.0262488344024413
Hans Merensky Nature Reserve,4764,4764,1,Hans Merensky Nature Reserve,Nature Reserve,National,10.37014828145,Designated,State Verified,541.623076923077,22.0807692307693,464.990042674253,Savanna,1.15555555555556,325.153472900391,1,0.914855404894465,0.0193594126560857,0.0194542760660358,0.0197019835507091,0.0194282740014181,0.0185136772439904
Kgaswane Mountain Nature Reserve,4765,4765,1,Kgaswane Mountain Nature Reserve,Nature Reserve,National,43.8618174069302,Designated,State Verified,667.998275862069,17.1672413793104,1483.93435846561,Savanna,2.64921465968586,1149.50793457031,0.942408376963351,0.0181324789170418,0.0200521433790023,0.0208450310338139,0.0206042229788913,0.0203205286636313,0.0192199869697393
Happy Rest Nature Reserve,4766,4766,1,Happy Rest Nature Reserve,Nature Reserve,National,22.4742809542063,Designated,State Verified,553.662068965517,18.098275862069,1219.65855263158,Savanna,0,299.438110351563,0,0.313942665707814,0.0196771858400382,0.0192536399770224,0.019928982052694,0.0202715046999276,0.0210289899791714
Langjan Nature Reserve,4767,4767,1,Langjan Nature Reserve,Nature Reserve,National,47.7127309456869,Designated,State Verified,385.576271186441,22.1364406779661,784.928215509187,Savanna,0.004739336492891,230.720886230469,0.004739336492891,0.596766456229314,0.019253048972094,0.0190895326474396,0.0193642650760538,0.0205438100545657,0.0218780211657198
Entumeni Nature Reserve,4934,4934,1,Entumeni Nature Reserve,Nature Reserve,National,5.63855746599554,Designated,State Verified,1172.94285714286,18.9642857142858,614.919698870765,Forests,0.0714285714285714,398.771179199219,0.0714285714285714,-0.140541347444425,0.00805803145605043,0.00781457466783291,0.00710695430481385,0.00661182884147343,0.00653472629801182
Karkloof Nature Reserve,4936,4936,1,Karkloof Nature Reserve,Nature Reserve,National,35.2367318937452,Designated,State Verified,896.922,13.772,1535.81035171863,Grassland,3.07453416149068,624.001708984375,0.608695652173913,0.223598882961366,0.00749530095896686,0.00721159667272467,0.00665481124762668,0.0062842461759219,0.00614375286815768
Bluff Nature Reserve,4938,4938,1,Bluff Nature Reserve,Nature Reserve,National,0.459016696586557,Designated,State Verified,916.275,21.15,54.5789473684211,Forests,0,624.001708984375,0,0.224308311041116,0.0055099333539749,0.0053373345431539,0.00465070814676927,0.00446723751150802,0.00453347418657797
Kenneth Stainbank Nature Reserve,4940,4940,1,Kenneth Stainbank Nature Reserve,Nature Reserve,National,2.1289130836345,Designated,State Verified,936.45,20.8,112.28,Forests,0,624.001708984375,0,0.338944153679855,0.00559942128104113,0.00539029541395435,0.0046898984177808,0.00452022636116269,0.00466184476192474
Moor Park Nature Reserve,4942,4942,1,Moor Park Nature Reserve,Nature Reserve,National,2.60818968800179,Designated,State Verified,844.25,15.725,1294.35215053763,Grassland,0.714285714285714,723.132507324219,0.714285714285714,1.08372791244324,0.00791931397940356,0.00773793814559974,0.00720326814443091,0.00688101929117205,0.00723652977815493
Harold Johnson Nature Reserve,4943,4943,1,Harold Johnson Nature Reserve,Nature Reserve,National,1.0286349829604,Designated,State Verified,1001.1,21.55,65.1224489795918,Indian Ocean Coastal Belt,0,327.43310546875,0,0.835789155692045,0.00722258805443745,0.00692426279522038,0.00641562903742769,0.00593879881314086,0.00563140028552994
Doreen Clark Nature Reserve,4944,4944,1,Doreen Clark Nature Reserve,Nature Reserve,National,0.058167371386389,Designated,State Verified,949.8,15.45,1142.125,Grassland,0,624.001708984375,0,-0.259962621820766,0.00655230966126645,0.00626825821402614,0.00563582424606842,0.00558056716971003,0.0055015008066433
Doorndraai Nature Reserve,7381,7381,1,Doorndraai Nature Reserve,Nature Reserve,National,68.9783417239459,Designated,State Verified,579.565591397849,18.7930107526882,1258.34876773712,Savanna,2.08361204013378,698.615966796875,0.79933110367893,0.702069203711742,0.0259081521604724,0.0269311755273918,0.0284629553933084,0.027874544546088,0.0253829561406444
Barberspan Nature Reserve,7383,7383,1,Barberspan Nature Reserve,Nature Reserve,National,30.1538632382874,Designated,State Verified,528.865789473684,17.55,1354.5385351843,Azonal Vegetation,0.0955882352941176,614.486633300781,0.0955882352941176,0.161804796672216,0.00674607534558889,0.00648429852651577,0.00622947611019822,0.00814513824702233,0.0101560089271372
Nylsvley Private Nature Reserve,7384,7384,1,Nylsvley Private Nature Reserve,Nature Reserve,National,30.8994499876699,Designated,State Verified,590.135,19.8625,1105.00284158181,Savanna,1.72058823529412,698.615966796875,0.970588235294118,0.750084584837628,0.026153247170886,0.0269624641954882,0.0281468064900583,0.028213083077663,0.0258434570806022
Percy Fyfe Nature Reserve,7385,7385,1,Percy Fyfe Nature Reserve,Nature Reserve,National,29.8518903287161,Designated,State Verified,538.392307692308,17.5807692307693,1418.22866304884,Savanna,2.3609022556391,857.952331542969,0.87218045112782,0.58288870859606,0.0246937528868533,0.0255215328908414,0.027934365257817,0.0277686956249174,0.0248272368953633
Ohrigstad Dam Nature Reserve,7386,7386,1,Ohrigstad Dam Nature Reserve,Nature Reserve,National,25.6070519322611,Designated,State Verified,984.706060606061,14.9318181818182,1565.32001141878,Grassland,3.08849557522124,822.28466796875,0.893805309734513,0.614759647605634,0.0207282297360371,0.0202805910019935,0.0193807479675806,0.0199760845300531,0.0209354120905801
Roodeplaat Nature Reserve,7387,7387,1,Roodeplaat Nature Reserve,Nature Reserve,National,17.1299040466951,Designated,State Verified,697.218181818182,18.7181818181819,1236.06966864911,Savanna,0.142857142857143,1391.71862792969,0.142857142857143,0.503496412848143,0.0233442755056884,0.0237079357467913,0.0248718557256298,0.0245849410956044,0.0250323532085671
Manyeleti Nature Reserve,9072,9072,1,Manyeleti Nature Reserve,Nature Reserve,National,214.379884754541,Designated,State Verified,623.559139784946,21.9844086021505,419.249615213599,Savanna,1.56315789473684,310.056060791016,0.833684210526316,0.463701653984648,0.016664925946164,0.0162094682572217,0.0151243613796243,0.015891811781154,0.0158844511871602
