NAME,WDPAID,WDPA_PID,PA_DEF,ORIG_NAME,DESIG_ENG,DESIG_TYPE,GIS_AREA,STATUS,VERIF,MAP,MAT,elevation_mean,Biome,fire_events_since_2001,n_deposition,prop_burned_area,woody_trend_venter2019,canopy_height_sd100,canopy_height_mean,tree_cover_sd100,tree_cover_mean,tree_cover_mean_scaled,sp1,spatial_predictor2,spatial_predictor3,spatial_predictor4,spatial_predictor5,spatial_predictor1
Buffelshoek Private Nature Reserve,555563621,555563621,1,Buffelshoek Private Nature Reserve,Nature Reserve,National,41.1353129029279,Designated,State Verified,620.878846153846,22.0692307692308,397.798003209128,Savanna,0.775956284153005,310.056060791016,0.371584699453552,0.544282866664079,3.43667480228058,1.61637180245276,11.5269147647847,7.33509665196967,-0.64501182421693,0.0175708674398497,0.0173239819279261,0.0162460531058628,0.016957559455663,0.0170519341097924,0.0175708674398497
Buffelspruit Nature Reserve,555563622,555563622,1,Buffelspruit Nature Reserve,Nature Reserve,National,1.35987225133073,Designated,State Verified,540.633333333333,16.0166666666667,1322.72222222222,Azonal Vegetation,0.875,435.373474121094,0,0.376174382274596,2.75534949321938,1.29673611391788,7.16067082427642,3.98084232898502,-0.78019558704317,-0.0032154496135748,-0.00307490236066318,-0.0031923373148569,-0.00345790515003599,-0.00309766499019969,-0.0032154496135748
Buffelsvlei Private Nature Reserve,555563623,555563623,1,Buffelsvlei Private Nature Reserve,Nature Reserve,National,13.8265072804159,Designated,State Verified,429.158823529412,21.85,891.814498933902,Savanna,0,632.810974121094,0,0.28627007274693,6.45695998791248,6.82765788414553,20.6188996231913,29.2316854050648,0.23746844581466,0.019678162903008,0.0193545787785416,0.0192075703558159,0.0187168385933632,0.0180755462120542,0.019678162903008
Buks Private Nature Reserve,555563624,555563624,1,Buks Private Nature Reserve,Nature Reserve,National,4.48645333991588,Designated,State Verified,711.616666666667,16.9666666666667,1443.14566284779,Grassland,1.52173913043478,1240.28076171875,0.304347826086957,0.434038310233488,4.18079350819213,2.87352978191513,13.4565438136939,11.2051965580541,-0.489038359643008,0.0218315889682533,0.0221274419509031,0.0228307318378546,0.0241355461289057,0.0243342937507057,0.0218315889682533
Burger Private Nature Reserve,555563625,555563625,1,Burger Private Nature Reserve,Nature Reserve,National,11.0253676959972,Designated,State Verified,596.161538461538,20.0884615384616,1035.02577660278,Savanna,5.56862745098039,1149.50793457031,0.901960784313725,0.0912958703851214,7.30964759949209,7.67499939926939,14.5560302658778,18.6789671347762,-0.187829109605484,0.0224615182369669,0.0226582345268381,0.0223017324556863,0.0207126911551743,0.020124492411094,0.0224615182369669
C. J. van Zyl Private Nature Reserve,555563627,555563627,1,C. J. van Zyl Private Nature Reserve,Nature Reserve,National,27.5669302257707,Designated,State Verified,567.648484848485,19.9742424242424,1078.79251790926,Savanna,0.747899159663866,1391.71862792969,0.168067226890756,0.696714387352446,7.43221029862153,8.7064119665815,20.7427048718405,31.1869919574338,0.316271563221943,0.0242590075791402,0.0247450101631933,0.0244926170696926,0.0242442343503276,0.0239417949193004,0.0242590075791402
C. R. Welgemoed Private Nature Reserve,555563628,555563628,1,C. R. Welgemoed Private Nature Reserve,Nature Reserve,National,8.63644496780464,Designated,State Verified,473.27,21.45,943.707874682472,Savanna,0,632.810974121094,0,0.0884846132706447,10.0810538911575,17.4492790534266,23.328477675951,63.4419473097841,1.616216592567,0.018611948972774,0.0183731280112358,0.018411029005156,0.0178318057392308,0.0173997979382408,0.018611948972774
Cape Peninsula Nature Area,555563629,555563629,1,Cape Peninsula Nature Area,Nature Reserve,National,62.7153957684422,Designated,State Verified,1099.24487179487,14.9923076923077,367.201007902875,Fynbos,0.765124555160142,112.387260437012,0.352313167259786,-0.287969955456731,7.51781455500768,11.023250108674,12.1885976345441,17.8746835167363,-0.220243493071014,-0.0522350814276757,-0.0516920186814858,-0.0506744241524552,-0.0488825171612494,-0.0483702624328538,-0.0522350814276757
Capricorn Private Nature Reserve,555563630,555563630,1,Capricorn Private Nature Reserve,Nature Reserve,National,145.437157002307,Designated,State Verified,410.040860215054,19.0376344086022,1144.06866778404,Savanna,0.00784929356357928,368.155334472656,0.00156985871271586,0.436918315170619,1.69931842069118,1.13665635442311,7.877484108289,6.12941386833664,-0.693603469265866,0.0227186310473228,0.0231963953049006,0.02399396500602,0.0247729052962894,0.0234835645438186,0.0227186310473228
Cathcart Nature Reserve,555563632,555563632,1,Cathcart Nature Reserve,Nature Reserve,National,5.2436691984214,Designated,State Verified,677.271428571429,13.6071428571429,1347.32375979112,Grassland,1.15384615384615,313.850219726563,0.384615384615385,0.597887571992136,7.92626094888127,11.8298374340169,13.063384896728,21.3052129505195,-0.0819856769694811,-0.00682731073010751,-0.00656007356633163,-0.00653485073081406,-0.00711042337343278,-0.00747549748223323,-0.00682731073010751
Cecilia Private Nature Reserve,555563633,555563633,1,Cecilia Private Nature Reserve,Nature Reserve,National,6.00946042816357,Designated,State Verified,712.671428571429,14.4214285714286,1761.78813559322,Grassland,1.5,1240.28076171875,0.5,0.325167371486675,2.35135235476556,1.48210671248548,4.62350932732681,3.02811023468048,-0.81859276777895,0.0204510327020731,0.0202037995515484,0.0212018142431544,0.0214663115177534,0.0224233846622611,0.0204510327020731
John Cairns Private Nature Reserve,555563634,555563634,1,John Cairns Private Nature Reserve,Nature Reserve,National,12.6932831925623,Designated,State Verified,738.21875,16.05625,1572.96737263881,Grassland,2.40677966101695,1240.28076171875,0.593220338983051,-0.0130590573191971,5.85917210841558,6.3948550611158,10.3515994834723,12.6454636807033,-0.43099245424446,0.0205615307526126,0.0206711954662896,0.0216601055244151,0.0229340415316227,0.0235791525227465,0.0205615307526126
Chapudi Private Nature Reserve,555563635,555563635,1,Chapudi Private Nature Reserve,Nature Reserve,National,25.5975589158951,Designated,State Verified,468.1,21.7629032258065,776.238922675934,Savanna,0,230.720886230469,0,0.613512845653502,4.92762207504047,3.93495001258817,18.184242635784,20.279608030574,-0.123319791470366,0.0197117659342036,0.0194029817545786,0.0197332934765753,0.020665635796303,0.0211849040976874,0.0197117659342036
Chester Private Nature Reserve,555563636,555563636,1,Chester Private Nature Reserve,Nature Reserve,National,22.5185383145499,Designated,State Verified,576.217857142857,21.8035714285715,498.458237798886,Savanna,0.415841584158416,325.153472900391,0.415841584158416,0.772571171203025,6.57498247380939,7.54981954663444,19.7091281137564,30.7923115055387,0.300365080450039,0.0203858722877148,0.0206862574636216,0.0208572451218333,0.0205685201956695,0.0198059468104016,0.0203858722877148
Christiaans Private Nature Reserve,555563637,555563637,1,Christiaans Private Nature Reserve,Nature Reserve,National,10.3872991297509,Designated,State Verified,745.892307692308,18.7269230769231,1145.1188466948,Savanna,1,1240.28076171875,0.340425531914894,0.972842526013405,8.79421516954514,11.8965684276614,24.2698152609405,44.2239441707986,0.84168916316718,0.0228488984320533,0.0232584058681255,0.0229768887918045,0.0240089930731565,0.0241795521354776,0.0228488984320533
Chriwilma Private Nature Reserve,555563638,555563638,1,Chriwilma Private Nature Reserve,Nature Reserve,National,13.0328593803586,Designated,State Verified,443.1125,20.975,1008.44841269841,Savanna,0,347.224090576172,0,0.647691495236334,14.1202939060437,32.104568156556,18.0596340613032,79.2162406510824,2.25195500846152,0.0224582787891213,0.0233054168634765,0.0232259858393778,0.0222928942688095,0.0219199776001326,0.0224582787891213
Clarens Private Nature Reserve,555563639,555563639,1,Clarens Private Nature Reserve,Nature Reserve,National,7.03461482175048,Designated,State Verified,976.34,12.23,1931.40220661986,Grassland,1.56666666666667,527.364074707031,0,0.557816462848222,2.22871149345528,1.43207827235697,7.72826126326123,5.76033518050705,-0.708478145123891,0.00868426563795637,0.00845303777682258,0.00816076255462983,0.0079505095832337,0.00912675002579746,0.00868426563795637
Club Ranch Private Nature Reserve,555563640,555563640,1,Club Ranch Private Nature Reserve,Nature Reserve,National,110.754077107293,Designated,State Verified,336.676978417266,23.0428057553957,674.166442411195,Savanna,0,241.486663818359,0,0.865901287582949,5.44226385437902,5.32055483158605,18.7612250239686,25.144333768023,0.0727392627878816,0.0178582870307479,0.0175333482069388,0.0175142576443295,0.0181132651373209,0.0201143359859453,0.0178582870307479
Coastal Forest Reserve,555563641,555563641,1,Coastal Forest Reserve,Nature Reserve,National,261.340582723108,Designated,State Verified,993.659574468085,22.7572948328267,31.5883146325365,Indian Ocean Coastal Belt,0.615452930728242,308.85124206543,0.155417406749556,0.0240745061072059,12.9852067984137,34.6245886737683,13.6729786798183,43.0217049887913,0.793236302772184,0.00970994296121127,0.00921788601414001,0.00852856054920438,0.00887083050027141,0.00972749482041953,0.00970994296121127
Colbyn Wetland Nature Reserve,555563642,555563642,1,Colbyn Wetland Nature Reserve,Nature Reserve,National,0.657355892340709,Designated,State Verified,713.2,18,1342.37777777778,Savanna,1,1391.71862792969,1,0.552906755076137,12.9787286615498,9.60373309293998,22.1043993628602,19.6534628661769,-0.148554806841335,0.0216251750199031,0.022031048289757,0.0231480940465017,0.0231068110472901,0.0228370830071682,0.0216251750199031
Contento Private Nature Reserve,555563643,555563643,1,Contento Private Nature Reserve,Nature Reserve,National,21.1959022384795,Designated,State Verified,640.657692307692,19.3884615384616,1169.72212633759,Savanna,0.074468085106383,663.142456054688,0.0106382978723404,0.634159972371989,10.3831796896091,14.816382016442,24.479014027357,49.4525769034114,1.05241446279267,0.0240895230577938,0.0245256010377378,0.02334762491985,0.0221874401654099,0.02203929581236,0.0240895230577938
Cooksley Private Nature Reserve,555563644,555563644,1,Cooksley Private Nature Reserve,Nature Reserve,National,15.4234913617535,Designated,State Verified,744.415,19.365,922.263435700576,Savanna,0.102941176470588,368.155334472656,0.0735294117647059,1.06120503058081,8.8541447504593,9.35509756372726,25.8891454393439,39.2273149013691,0.640314108967899,0.0205226746470259,0.0201479643314878,0.0209332449506116,0.020953657450505,0.0212124683708443,0.0205226746470259
Corridor Game Reserve,555563645,555563645,1,Corridor Game Reserve,Nature Reserve,National,215.859913659073,Designated,State Verified,845.04,21.5212280701755,222.927489462592,Savanna,6.42813141683778,332.133392333984,0.880903490759754,0.178155946278164,8.34160425415291,9.16167927476723,17.0267975767347,23.0931409566214,-0.00992827992863737,0.00958558059808905,0.00905873597085856,0.00840779734737153,0.00825458694015824,0.0087828322968195,0.00958558059808905
Craigantlet Nature Reserve,555563646,555563646,1,Craigantlet Nature Reserve,Nature Reserve,National,0.483200283825459,Designated,State Verified,823.4,16.65,43.4861111111111,Fynbos,1.33333333333333,103.775352478027,0.333333333333333,0.0535479444817433,7.40853861847082,5.77307729675148,18.2467125988169,16.1407269420514,-0.290125723746543,-0.0556935114328862,-0.0542198167069596,-0.0536368408827995,-0.0528990909909137,-0.0506427024271902,-0.0556935114328862
Craigie Burn Public Resort Nature Reserve,555563648,555563648,1,Craigie Burn Public Resort Nature Reserve,Nature Reserve,National,3.31748578406845,Designated,State Verified,863.75,15.4,1309.65319148936,Grassland,1.2,624.001708984375,0.333333333333333,0.932812560746725,1.94853760983829,1.14204939847525,3.24345455844582,2.02691888299117,-0.858942962247812,0.0083596245632241,0.00805650622567307,0.00755267805046052,0.00716044991140713,0.00711655597590222,0.0083596245632241
Cronje en Dogters Private Nature Reserve,555563649,555563649,1,Cronje en Dogters Private Nature Reserve,Nature Reserve,National,47.2110938970588,Designated,State Verified,644.241666666667,21.82,477.294081093677,Savanna,1.89705882352941,310.056060791016,0.867647058823529,0.654460200423537,1.54756772022583,0.618066121218369,6.01236436736987,3.00871196922348,-0.81937456017281,0.0187265552100641,0.0183724247829137,0.0182715839447893,0.0184436262078161,0.0183326476781657,0.0187265552100641
D. J. Dercksen Private Nature Reserve,555563651,555563651,1,D. J. Dercksen Private Nature Reserve,Nature Reserve,National,42.3430047057254,Designated,State Verified,525.098214285714,21.4553571428572,834.692427385892,Savanna,0.574468085106383,857.952331542969,0.191489361702128,0.633542899878558,2.51717398008654,1.68943235026505,14.5683507751851,12.1928609702084,-0.449233330331522,0.0239461468144917,0.0242772936160068,0.0263215169265486,0.0265549126377441,0.0245025899975553,0.0239461468144917
ZuluWaters Game Reserve,555563652,555563652,1,ZuluWaters Game Reserve,Nature Reserve,National,24.7925864419463,Designated,State Verified,889.078787878788,15.5166666666667,1336.30705748435,Grassland,3.91525423728814,723.132507324219,0.711864406779661,0.530157408696273,5.20576584605216,5.12884959265483,8.62750516761109,9.16981978762165,-0.571068481423204,0.00819554258179368,0.00799490794493756,0.00745023686009603,0.00712458347327756,0.0074775137681933,0.00819554258179368
Danie Malan Private Nature Reserve,555563653,555563653,1,Danie Malan Private Nature Reserve,Nature Reserve,National,8.51144392914644,Designated,State Verified,448.7,21.5833333333334,911.80408542247,Savanna,0.0857142857142857,632.810974121094,0,0.477352389786946,7.552088847694,12.5411725656287,17.8113619595553,46.9070532373712,0.949824308796131,0.0181584497313479,0.0180584185976865,0.0178237481308495,0.0174876141063003,0.0172226748098401,0.0181584497313479
Darling Local Nature Reserve,555563655,555563655,1,Darling Local Nature Reserve,Nature Reserve,National,0.149593183343471,Designated,State Verified,488.65,16.55,147.333333333333,Fynbos,0,128.408187866211,0,1.00339773206347,0.798618296188781,0.290741696644545,2.05035209992073,0.897451877555189,-0.904462945254664,-0.052254242093959,-0.0530249092064332,-0.0508270332796482,-0.048691023444248,-0.0473668961214787,-0.052254242093959
Darling Renosterveld Local Nature Reserve,555563656,555563656,1,Darling Renosterveld Local Nature Reserve,Nature Reserve,National,0.367061213926198,Designated,State Verified,503.833333333333,16.45,179.581818181818,Fynbos,0.5,128.408187866211,0,0.64270829796825,1.10369411524799,0.481662315414805,5.31322023338742,2.61722313438853,-0.835152413818194,-0.0523901457132596,-0.053161517448322,-0.0509457415966958,-0.0487039349870226,-0.0474687455344996,-0.0523901457132596
Davel Private Nature Reserve,555563658,555563658,1,Davel Private Nature Reserve,Nature Reserve,National,13.0479886730405,Designated,State Verified,829.864705882353,11.614705882353,2153.36317851147,Grassland,11.6206896551724,1051.08349609375,0.982758620689655,0.321806191375183,1.25132609931379,0.938900683731049,2.42230869691884,1.53937515856826,-0.878592037381495,0.0220103125177296,0.0221236142538059,0.021582526093299,0.0219686074435885,0.0231361333561229,0.0220103125177296
Dawie Pieterse Private Nature Reserve,555563659,555563659,1,Dawie Pieterse Private Nature Reserve,Nature Reserve,National,8.30747674540962,Designated,State Verified,589.784615384615,19.9884615384616,1028.15674255692,Savanna,1.21621621621622,1149.50793457031,0.540540540540541,0.497820945321541,4.71295836520514,2.83415483935632,15.8730672077894,12.4722842940115,-0.437971961128156,0.0216476055101143,0.0220645173927119,0.0220750042405271,0.0205305359365485,0.0200127636826734,0.0216476055101143
De Aar Nature Reserve,555563660,555563660,1,De Aar Nature Reserve,Nature Reserve,National,3.32648345514589,Designated,State Verified,358.45,17.1,1280.10315789474,Nama-Karoo,0,235.289970397949,0,0.173939468485427,0.134907286826502,0.0513891070487624,0.443954215727631,0.183806899273913,-0.933224393909597,-0.0113405767288834,-0.0107809527188655,-0.0103750050015214,-0.0102146186783051,-0.0102464281386485,-0.0113405767288834
De Bruins Private Nature Reserve,555563661,555563661,1,De Bruins Private Nature Reserve,Nature Reserve,National,12.3609796295681,Designated,State Verified,410.488235294118,21.95,878.556676557863,Savanna,0,632.810974121094,0,0.317281727723528,3.13305142486419,2.73048970914872,14.6443170243948,16.150075579624,-0.289748953268615,0.0195989573830725,0.0193339737982317,0.0192594768911504,0.0184625845880459,0.0180929992514657,0.0195989573830725
De Voogd Private Nature Reserve,555563662,555563662,1,De Voogd Private Nature Reserve,Nature Reserve,National,9.24990338003057,Designated,State Verified,571.990909090909,23.2954545454546,436.800482703138,Savanna,0,213.527069091797,0,0.49734151256756,8.23778140188993,12.8584681517626,22.8900187313374,54.8380892905351,1.26946235455506,0.0162296202258597,0.0161524692696955,0.0157927721011821,0.0160112289672601,0.0164566923142017,0.0162296202258597
Deellam Private Nature Reserve,555563663,555563663,1,Deellam Private Nature Reserve,Nature Reserve,National,16.6125297823927,Designated,State Verified,413.978260869565,21.9239130434783,884.37627268703,Savanna,0,632.810974121094,0,0.248032706536588,3.05098046941374,2.52534452754776,12.0102275241076,12.8594443396886,-0.422368567124317,0.0199988012644149,0.0197091163101128,0.0195151816016886,0.0191563544197048,0.0184843571418174,0.0199988012644149
Diana Ranch Private Nature Reserve,555563664,555563664,1,Diana Ranch Private Nature Reserve,Nature Reserve,National,94.3965496041559,Designated,State Verified,753.69674796748,18.8808943089431,1154.61609763634,Savanna,3.84285714285714,1315.99969482422,0.542857142857143,0.658202848221011,4.00792579868147,3.2748729141746,13.1666696435112,13.5420907688668,-0.394856427587416,0.023194520867738,0.023527393709776,0.0250051983250548,0.0262718577414723,0.0247659719709947,0.023194520867738
Dianne Private Nature Reserve,555563665,555563665,1,Dianne Private Nature Reserve,Nature Reserve,National,4.59552399176543,Designated,State Verified,772.983333333333,16.9333333333334,1459.60377358491,Grassland,1.45,1391.71862792969,0.5,0.16346763653922,0.476599096008749,0.242493492796724,0.945619952884292,0.532131959669667,-0.919186134488327,0.0217916332874768,0.0219824003925421,0.0232077984311028,0.0244095148044627,0.024226137071549,0.0217916332874768
Die Bos Nature Reserve,555563666,555563666,1,Die Bos Nature Reserve,Nature Reserve,National,0.499868402306198,Designated,State Verified,205.5,19.55,926.216216216216,Azonal Vegetation,0,226.322113037109,0,0.491226884795943,18.5194707209604,19.4771952221268,28.7938017594187,41.8799275849995,0.747220183870022,-0.0112428383581255,-0.0106605376626447,-0.0102066055519088,-0.00976687881700182,-0.00958388285663295,-0.0112428383581255
Die Kraal Private Nature Reserve,555563667,555563667,1,Die Kraal Private Nature Reserve,Nature Reserve,National,29.0920846452905,Designated,State Verified,569.576923076923,20.7064102564103,978.59708249497,Savanna,0.748031496062992,906.3251953125,0.456692913385827,0.421638395576679,9.13314490977442,15.7224754859387,18.9033351806727,46.4058728803301,0.929625647634646,0.0231110159890567,0.0231236048285354,0.0225028612411005,0.0210639752350124,0.020600186523529,0.0231110159890567
Die Skoen Private Nature Reserve,555563668,555563668,1,Die Skoen Private Nature Reserve,Nature Reserve,National,15.4045303452347,Designated,State Verified,601.145,19.905,1101.34626300851,Savanna,0.986301369863014,1391.71862792969,0.849315068493151,0.618498188722102,4.59545802713957,5.03231695800038,13.0821513284701,16.729363072944,-0.266402404210433,0.0236359229309426,0.0240748610320908,0.0243256987317314,0.0242092386628793,0.0239911626891973,0.0236359229309426
Doelen Private Nature Reserve,555563670,555563670,1,Doelen Private Nature Reserve,Nature Reserve,National,3.9841814879933,Designated,State Verified,518.18,20.07,1085.81885397412,Savanna,0.111111111111111,778.284149169922,0,0.825075619889956,5.74360498156185,5.93936775312802,18.8726035883698,25.8315883672568,0.100437121625668,0.0244289210367413,0.0250583201859796,0.0272522731840489,0.0267836638061364,0.024252564191563,0.0244289210367413
Dombeya Private Nature Reserve,555563671,555563671,1,Dombeya Private Nature Reserve,Nature Reserve,National,2.46932684640226,Designated,State Verified,837.9,18.3166666666667,889.123529411765,Savanna,0.9,473.865539550781,0.4,0.505066075027834,13.0446266342106,23.8555434075961,23.8881537793683,63.2071932869314,1.6067554935888,0.0179770154471688,0.0175168885277536,0.0173917736336298,0.0169937076155229,0.0178260531881184,0.0179770154471688
Dongola Belvedere Private Nature Reserve,555563672,555563672,1,Dongola Belvedere Private Nature Reserve,Nature Reserve,National,29.9478219699496,Designated,State Verified,390.171794871795,22.3423076923077,704.190393230463,Savanna,0,230.720886230469,0,0.813958358911773,5.87447456261322,5.0620840793726,23.0627162752187,27.5311427150572,0.1689328675472,0.0175611518159106,0.016851055215853,0.0169558398385868,0.0177069095431782,0.0184735614158743,0.0175611518159106
Doornfontein Private Reserve,555563673,555563673,1,Doornfontein Private Reserve,Nature Reserve,National,36.0265018433083,Designated,State Verified,552.931111111111,19.3544444444445,1182.08104255752,Savanna,0.75776397515528,857.952331542969,0.279503105590062,0.798836505299324,6.79253164208713,12.1475976165671,19.2585146205676,49.8368886606562,1.06790306456229,0.0242821662820818,0.0248007847336179,0.0270712930854824,0.0267001047442396,0.0242210146538502,0.0242821662820818
Doornlaagte Private Nature Reserve,555563674,555563674,1,Doornlaagte Private Nature Reserve,Nature Reserve,National,29.8597476979236,Designated,State Verified,480.210526315789,21.3526315789474,944.824686501106,Savanna,0.330827067669173,632.810974121094,0.0150375939849624,0.324167409610252,1.70177158560208,1.91329300687777,5.48977682426144,8.01019562419449,-0.617803863651712,0.0179909050475892,0.0178337142997194,0.017879498037631,0.0175219942019718,0.0172305588669363,0.0179909050475892
Doringkloof Nature Reserve,555563675,555563675,1,Doringkloof Nature Reserve,Nature Reserve,National,2.74425711720607,Designated,State Verified,394.525,17.375,309.252450980392,Fynbos,0,133.893569946289,0,0.601057679807184,3.90951404356295,3.21699896574168,14.7069832536074,14.5262557672683,-0.355192432280283,-0.0428568600859231,-0.041946127757754,-0.0431195879395005,-0.048043631125052,-0.0514159739900414,-0.0428568600859231
Dr Appie van Heerden Nature Reserve,555563676,555563676,1,Dr Appie van Heerden Nature Reserve,Nature Reserve,National,15.7049643931348,Designated,State Verified,244.209523809524,16.5928571428572,1336.86429512516,Nama-Karoo,0,177.096160888672,0,0.225908195097034,0.0371211268928922,0.00850791033495236,0.212773906738272,0.0583991380919682,-0.938278600124082,-0.0195607705062748,-0.018560335278671,-0.0173941046578137,-0.0175223696903625,-0.0232733893188141,-0.0195607705062748
Draaispruit Private Nature Reserve,555563677,555563677,1,Draaispruit Private Nature Reserve,Nature Reserve,National,14.6664681199267,Designated,State Verified,401.922222222222,21.9611111111112,876.637137137137,Savanna,0.0317460317460317,632.810974121094,0,0.451713791237998,2.83081550807321,2.0299319673041,11.5635439935735,10.401681513511,-0.521421767920821,0.0197161482882966,0.0194902249662225,0.0193733375623406,0.0187789333348942,0.0182531096202319,0.0197161482882966
Driehoek Private Nature Reserve,555563678,555563678,1,Driehoek Private Nature Reserve,Nature Reserve,National,68.5262214669689,Designated,State Verified,393.602597402597,22.2175324675325,859.739396911008,Savanna,0,345.731887817383,0,0.490330987233826,5.27280842305143,4.58252423852553,14.5733709506542,16.2241272925751,-0.286764507774467,0.019490271092478,0.0193702279602525,0.0188619961926447,0.0194921609324572,0.0185711209134319,0.019490271092478
Du Plessis No 1 Private Nature Reserve,555563679,555563679,1,Du Plessis No 1 Private Nature Reserve,Nature Reserve,National,50.8059032707635,Designated,State Verified,635.921538461538,19.2361538461539,1193.92296616271,Savanna,4.56444444444445,663.142456054688,0.622222222222222,-0.034609183704914,14.4689034074692,25.0899445123118,22.8265264804383,62.6607934227179,1.58473438769174,0.0236896779799448,0.0235134122668678,0.0229343535768956,0.021570997729893,0.0213566208416179,0.0236896779799448
Du Plessis No 2 Private Nature Reserve,555563680,555563680,1,Du Plessis No 2 Private Nature Reserve,Nature Reserve,National,33.3756980500186,Designated,State Verified,577.997727272727,19.9681818181818,1088.10989252029,Savanna,1.6734693877551,663.142456054688,0.360544217687075,0.336174205195639,11.1664809318196,21.5608901218339,19.9747427766175,59.8662936584474,1.47210995406949,0.0233797906905473,0.0232052381562978,0.0225724377889348,0.0213192873761173,0.0208275311223643,0.0233797906905473
Duplo Private Nature Reserve,555563682,555563682,1,Duplo Private Nature Reserve,Nature Reserve,National,14.9262527825349,Designated,State Verified,405.631578947368,22.05,858.146184340932,Savanna,0,357.291137695313,0,0.214858893155995,2.90717090150631,2.15034852423698,11.8209400510787,10.3586504169315,-0.523156014937899,0.0218659810607275,0.0226472257254445,0.0232522388815968,0.0224715272092107,0.022057642375194,0.0218659810607275
Durand Private Nature Reserve,555563683,555563683,1,Durand Private Nature Reserve,Nature Reserve,National,10.9369250223045,Designated,State Verified,668.342857142857,19.55,1144.31459170013,Savanna,2.71428571428571,663.142456054688,0.448979591836735,0.064389981392168,14.7446432620213,28.4904732255402,22.3265226664467,69.0702586523061,1.84304981163034,0.0237706684837053,0.0235912327081164,0.0229553215973815,0.0216761707047187,0.0214533693635229,0.0237706684837053
E. A. Faber Private Nature Reserve,555563685,555563685,1,E. A. Faber Private Nature Reserve,Nature Reserve,National,16.8279086923268,Designated,State Verified,386.233333333333,22.0166666666667,878.420315236427,Savanna,0,632.810974121094,0,0.365296904590905,5.25881538293034,4.78711586099423,15.3008985908103,16.8892063715865,-0.259960370753106,0.0201000613864885,0.019869486497142,0.0196422882989361,0.0192714558610661,0.0187056915394953,0.0201000613864885
E. H. Rachmann Private Nature Reserve,555563686,555563686,1,E. H. Rachmann Private Nature Reserve,Nature Reserve,National,9.37748328581605,Designated,State Verified,445.15,21.55,929.265563435776,Savanna,0,347.224090576172,0,0.862542629948572,17.8863761782178,36.5830218391475,18.755461996314,76.8412030454001,2.1562358144249,0.0230991769546173,0.0230830770869976,0.0230494317477336,0.0222634617547078,0.0216289524677816,0.0230991769546173
Eden Private Nature Reserve,555563688,555563688,1,Eden Private Nature Reserve,Nature Reserve,National,13.3515974311673,Designated,State Verified,889.26875,20.7625,631.132709251101,Savanna,2.22950819672131,566.170364379883,0.524590163934426,0.817882332529536,12.4476605981415,18.0047719279405,22.0989223053139,46.3110475318185,0.925803979332613,0.019953932615485,0.0192851233910657,0.0193341592705896,0.0193853461816165,0.0194150449974053,0.019953932615485
Elizabeth Private Nature Reserve,555563691,555563691,1,Elizabeth Private Nature Reserve,Nature Reserve,National,25.0409569982671,Designated,State Verified,392.044827586207,21.7086206896552,947.884411764706,Savanna,0.119266055045872,663.142456054688,0,0.450092532454978,2.40292014002884,1.50835862992766,9.50248572141136,7.32776102986622,-0.645307465782276,0.0222207964662952,0.0218161458451651,0.0217199013507943,0.0211269586853324,0.0202736504925876,0.0222207964662952
Emakhosini Heritage Park,555563692,555563692,1,Emakhosini Heritage Park,Nature Reserve,National,24.2633483415351,Designated,State Verified,799.335483870968,19.533870967742,545.966939730837,Savanna,0.568807339449541,398.771179199219,0.155963302752294,0.5443681396723,9.22259417760893,11.828875017899,25.4407806021268,48.0909462935748,0.997537780319379,0.0100369344949106,0.0097358019365621,0.00900447193317623,0.00882191788537866,0.00906381670461697,0.0100369344949106
Emakhosini Ophathe Heritage Park,555563693,555563693,1,Emakhosini Ophathe Heritage Park,Nature Reserve,National,111.149711613678,Designated,State Verified,861.96301369863,19.5205479452055,534.279136598761,Savanna,1.78362573099415,398.771179199219,0.522417153996101,0.487638271125739,9.33619690339339,10.977123563269,23.5043966800377,38.8300516206439,0.624303532562546,0.0098485323027215,0.00956991304328454,0.00883817348116217,0.00848435919182624,0.00885773571770178,0.0098485323027215
Emaria Private Nature Reserve,555563694,555563694,1,Emaria Private Nature Reserve,Nature Reserve,National,11.6508384912873,Designated,State Verified,396.08,22.2500000000001,855.887547649301,Savanna,0,347.224090576172,0,0.406253026140606,0.705666047657131,0.271354189194894,2.5083394314355,1.18393802914382,-0.892916928691763,0.0201682466339563,0.0200914271135768,0.0200911623136937,0.0203357452956072,0.0194400324956406,0.0201682466339563
Emlwane Game Park Private Nature Reserve,555563695,555563695,1,Emlwane Game Park Private Nature Reserve,Nature Reserve,National,38.6706314920982,Designated,State Verified,855.971153846154,15.0923076923077,1534.0676872003,Grassland,2.71176470588235,867.319946289063,0.641176470588235,0.632068039946685,4.17886020235281,4.2775960327833,10.2687700361888,12.2620507158295,-0.446444832721797,0.0123809205928763,0.0119985827758882,0.0119743808068519,0.0127746356603509,0.0141199675732957,0.0123809205928763
Erfenis Dam Nature Reserve,555563696,555563696,1,Erfenis Dam Nature Reserve,Nature Reserve,National,40.3457210980481,Designated,State Verified,524.502127659574,17.0074468085107,1335.76177918425,Azonal Vegetation,0,549.210327148438,0,0.505176270643236,0.847089686640653,0.478740368303868,2.02748367447583,1.34950780979959,-0.886244105523291,0.00500124039169025,0.00490928836959247,0.00447606856105005,0.00437900668160343,0.00527979694517426,0.00500124039169025
