source,unique_id,sp1,sp2,sp3,sp4,sp5,elevation,chelsa_map,chelsa_mat,n_deposition,fire_frequency,venter_woody_cover_trend,mean_burned_area,mean_prec,mean_mat,mean_woody_cover,mat_coef,mat_p_value,mat_rlm_est,mat_rlm_p_val,mat_rlm_r2,prec_coef,prec_p_value,prec_rlm_est,prec_rlm_p_val,prec_rlm_r2,burned_area_coef,burned_area_p_value,burned_area_rlm_est,burned_area_rlm_p_val,burned_area_rlm_r2,woody_cover_change,woody_cover_ha_p_value,woody_cover_ha_rlm_est,woody_cover_ha_rlm_p_val,woody_cover_ha_rlm_r2,woody_cover_sd_ha_coef,woody_cover_sd_ha_p_value,woody_cover_sd_ha_rlm_est,woody_cover_sd_ha_rlm_p_val,woody_cover_sd_ha_rlm_r2,woody_cover_sd_km_coef,woody_cover_sd_km_p_value,woody_cover_sd_km_rlm_est,woody_cover_sd_km_rlm_p_val,woody_cover_sd_km_rlm_r2,mean_woody_cover_sd_ha,mean_woody_cover_sd_km,mat_change,prec_change,spatial_predictor1,spatial_predictor2,spatial_predictor3,spatial_predictor4,spatial_predictor5,area_ha,max_species_body_mass,mean_species_body_mass,median_species_body_mass,CW_max_species_body_mass,CW_mean_species_body_mass,CW_median_species_body_mass,n_species_reserve,n_herbi_sp_reserve,elephant_biomass_ha,browser_biomass_ha,grazer_biomass_ha,mixed_feeder_biomass_ha,grazer_browser_ratio,grazer_mixed_ratio,browser_mixed_ratio,herbi_biomass_ha,herbi_fun_red,herbi_fun_div_distq1,herbi_fun_ent,predator_biomass_ha,establishment_year,Biome,n_reserves_biome,herbi_biomass_kgkm2,grazer_biomass_kgkm2,mixed_feeder_biomass_kgkm2,browser_biomass_kgkm2,elephant_biomass_kgkm2
SWEP,reserve_1,-0.0644197398782101,-0.0638647763831788,-0.0642131034001834,-0.0676550451684903,-0.0636911385276026,765.72216796875,504.397644042969,17.4002704620361,217.168685913086,0,0.359989047050476,6.00147040804207e-07,535.584532908904,16.7122422976372,17.7247411727905,0.0168385037208234,0.0154885945538907,0.0159335604209211,0.00602220418461438,0.198038711855244,-2.39006292293774,0.173256372755458,-2.44760061317167,0.127794731173678,0.0413356234148715,-1.31655421689612e-07,0.0951855329685503,0,0,0,0.694727267518625,0.00945733006523667,0.758501057281591,0.0332845286116461,0.406535929967679,0.31583269184715,0.0245642455393596,0.358868401709771,0.0837173828442897,0.309662690595357,0.592527056692298,0.0163837086654805,0.639118301581207,0.0492984780646843,0.344428953699124,10.6179631233215,24.6745248794556,0.100755502588686,-0.446253163801551,-0.0644197398782101,-0.0638647763831788,-0.0642131034001834,-0.0676550451684903,-0.0636911385276026,2927.17670480653,213.501,71.312675,54.37505,19.4416135581248,4.03123222558114,1.26524864984156,12,12,0,0.946987995445671,0.578799990864228,26.0823046229613,0.611200979999576,0.0221912901958321,0.0363076809789269,27.6080926092712,0.15,1.82770496434415,10,,1984,Albany Thicket,87,2760.80926092712,57.8799990864228,2608.23046229613,94.6987995445671,0
SWEP,reserve_2,-0.0516995256958948,-0.0522100094427894,-0.0520045381949157,-0.0524442671266079,-0.0572855256753402,404.084594726563,660.395141601563,16.2569694519043,179.96614074707,0.790943920612335,0.0573154389858246,0.0423320173152509,618.941089336689,16.0328231713711,20.2448873519898,0.0126858631998871,0.0417218017345158,0.011582039528326,0.000871516903803108,0.213111065989687,-3.73773480361843,0.0191372882085745,-3.46383317190965,0.0192190002905047,0.0793986338217786,-0.00407218678676925,0.0578852590960497,-0.000370350085178401,0.566469376459271,-0.0083893024008399,1.06775488849766,0.105411830661068,1.03167866899567,0.294923234354672,0.102540064498752,0.536056072285044,0.0858212212680926,0.129242571518653,0.85580452652821,-0.0941610133476638,1.05553711998905,0.0881534750000581,0.467217118131669,0.759398628634544,-0.0144128152914123,14.1423140525818,29.1748394966126,0.0791243255432361,-0.603891851423874,-0.0516995256958948,-0.0522100094427894,-0.0520045381949157,-0.0524442671266079,-0.0572855256753402,383.656003035174,82.5,39.500025,36.37515,21.5387521906632,6.7901167666666,4.33677130610993,8,8,0,0.296164139492385,0.437891884059997,0.501426534390401,1.47854458277943,0.873292205392272,0.590643133499987,1.23548255794278,0.107142857142857,3.96633267957969,7,,,Fynbos,39,123.548255794278,43.7891884059997,50.1426534390401,29.6164139492385,0
SWEP,reserve_3,-0.0622336639531285,-0.0620098806419461,-0.0631151166152782,-0.0657105059779859,-0.0636591167534721,729.512023925781,378.926910400391,17.7450542449951,217.020736694336,0,0.398137807846069,0,435.558741642879,17.6144757393079,0.107819367293268,0.0150004699913479,0.0322010828298213,0.0141237983746514,0.00767945302816297,0.172763846394314,-1.94047343401238,0.211163518137149,-2.00976772364959,0.136097589931681,0.0329543058928743,0,,0,0,0,0.00101441840717779,0.888816143538782,0.00133080636342618,0.786476931912832,-0.121059181017659,-0.0040452061974974,0.772296935001531,-0.00391360193710398,0.699118303495195,-0.116185189171857,-0.0077511513234429,0.854758466077717,-0.00838988344953586,0.818950071548066,-0.121041644654453,0.219362417981029,0.665547858178616,0.0851599003759921,-0.445513600919392,-0.0622336639531285,-0.0620098806419461,-0.0631151166152782,-0.0657105059779859,-0.0636591167534721,5836.57341727102,213.501,86.3183818181818,60,43.9927383449387,5.65902463728596,1.90551399810945,11,11,0,3.45550004396758,0.0661775278722695,27.2953850162462,0.0191513607380207,0.00242449512373175,0.12659649394617,30.817062588086,0.0818181818181818,1.7628806147528,10,,1990,Nama-Karoo,33,3081.7062588086,6.61775278722695,2729.53850162462,345.550004396758,0
SWEP,reserve_4,-0.0590709733685637,-0.0603450043815479,-0.0608286268237244,-0.064692209380314,-0.0639165416178752,826.043579101563,545.890686035156,17.625997543335,217.168685913086,0,0.706547856330872,0.000169067565972606,609.752206655649,16.2586969473423,7.60363557338715,0.0181842497681426,0.0184912209819032,0.0170990484490184,0.00668072065777888,0.190959816364417,-2.83849355855174,0.171725958622347,-2.87806330801159,0.127050458523123,0.0399653753948313,2.0375867182065e-05,0.195191292159123,0,0,0,0.693088391151781,0.0745270561723241,0.736157346378068,0.00334723698100869,0.468667557044265,0.487204591506686,0.101691473533664,0.505279607562928,0.00818579416348733,0.363835267774761,0.820035207314676,0.140150303315563,0.925487444995396,0.00635937039086222,0.433795760982027,7.43433198928833,14.9361855506897,0.111843217368751,-0.465515914098978,-0.0590709733685637,-0.0603450043815479,-0.0608286268237244,-0.064692209380314,-0.0639165416178752,7076.37056506715,569.9936,144.544945454545,60,204.33575366112,31.8188157736462,2.26415891779242,11,11,0,0.0767344212696481,0.0237409627513488,0.236560611772331,0.309391305212585,0.10035889987551,0.32437530785344,0.337035995793328,0.141414141414141,2.73515758306186,9,,2011,Azonal Vegetation,3,33.7035995793328,2.37409627513488,23.6560611772331,7.67344212696481,0
SWEP,reserve_5,-0.049676686987579,-0.0505280596911543,-0.0500683964365301,-0.0501897025416872,-0.0541627337130806,506.494995117188,788.439819335938,15.7393274307251,179.966125488281,1.55830872058868,-0.0984774753451347,0.0544694740918506,675.55213654347,15.9065916110308,17.2110812187195,0.0106373836515294,0.075665419051239,0.00944429767298208,0.00886396032014468,0.144451847747121,-4.43747607440634,0.00961377835267171,-4.21735738155833,0.00514181212049611,0.117855532775279,0.000929552098776727,0.706717339897121,-0.000112093388383467,0.953833494675646,-0.0451563322120829,0.975429173135807,0.000742772309831234,1.18690903883363,0.193205064524032,0.675180753412125,0.470661583096879,0.00362220766344147,0.206164001748996,0.0605104681953281,0.379128346197368,0.862763369963187,0.00264274599354027,0.392996944543124,0.202782646068605,0.408257189538469,12.5296513080597,27.386157989502,0.0668740602113195,-0.656866559124679,-0.049676686987579,-0.0505280596911543,-0.0500683964365301,-0.0501897025416872,-0.0541627337130806,1935.85570665625,97.5,48.8333555555556,54.9997,59.7576078297555,7.50428132097483,0.0325842791904445,9,8,0,0.134630617924603,0.0639252189997932,62.0409748965484,0.474819324052966,0.00103037096219695,0.00217002743991525,62.2395307334728,0.107142857142857,1.02086934070375,7,0.042616580211187,2007,Fynbos,39,6223.95307334728,6.39252189997932,6204.09748965484,13.4630617924603,0
SANParks,reserve_6,-0.0687220516409075,-0.0671238496344867,-0.0675105721203656,-0.0652383118298643,-0.0626704146838767,330.536865234375,475.867462158203,18.0553855895996,188.798370361328,0.386581420898438,0.102862000465393,0.0103645625179828,435.297114445613,17.9499044662867,53.6848098754883,0.00882803926875015,0.12169660422418,0.00813749963202248,0.0383669705171755,0.0944411091649643,-1.65900326968494,0.21953454923129,-1.50223689486785,0.218844615739196,0.0111728570293533,-0.000245111594864195,0.53987157293724,-4.41061303640856e-05,0.658695105436772,-0.0316519975703544,0.236112764532598,0.373751099903281,0.253918200028213,0.439745004009489,-0.0201630053525541,-0.0837585452520647,0.21650276383316,-0.0857357774960213,0.0895839720224675,0.264658416672867,-0.138715462870764,0.0874958214033639,-0.120123824322232,0.0119670700164659,0.352805578888515,9.64047393798828,24.2388032913208,0.0491815390178308,-0.381119748932363,-0.0687220516409075,-0.0671238496344867,-0.0675105721203656,-0.0652383118298643,-0.0626704146838767,137741.624773986,4400,362.298520833333,99.75,2759.07299654439,139.037746785884,0.887861622597558,24,21,20.7954567451928,4.8461093253059,3.8656430928101,24.4515635918075,0.797679712387853,0.158093901778343,0.198192205873067,33.1633160099235,0.119047619047619,2.63126716006587,18,0.0207758032816559,1931,Albany Thicket,87,3316.33160099235,386.56430928101,2445.15635918075,484.61093253059,2079.54567451928
HC,reserve_7,-0.0528874911698336,-0.0529962023946999,-0.0527621923260767,-0.0547657419161259,-0.0631551298162688,1459.13415527344,461.824890136719,14.3708333969116,237.67839050293,0.110496148467064,0.549868285655975,0.00184755603187121,652.138100648538,14.4784318728325,1.90705479383469,0.0133546263974572,0.12188905503197,0.0126538101873468,0.117681471666709,0.0661499201812265,-2.52548479449757,0.308028251143486,-2.17354207327062,0.403530644063893,0.0020314817403958,-3.9779463164876e-05,0.832682541420883,0,0,0,0.212093230902212,0.000345838954663128,0.121181255891597,0.429880150840371,0.248949419957183,0.19127963922055,0.000188116930529962,0.235810323565507,0.15247740962611,0.545513429813007,0.502852507047982,0.000153773720814968,0.630305121520535,0.032084315253217,0.571839557664601,2.11167186498642,5.6669554233551,0.092238071876527,-0.387262267299829,-0.0528874911698336,-0.0529962023946999,-0.0527621923260767,-0.0547657419161259,-0.0631551298162688,30000,580.0027,151.413504545455,106.3745,74.4675922667272,6.99679070440314,1.02538862492729,22,22,0,7.67470341333333,20.1975941666667,35.24394277,2.63171005821244,0.573079870730555,0.217759501637431,63.11624035,0.251748251748252,2.76871141047857,13,,1988,Nama-Karoo,33,6311.624035,2019.75941666667,3524.394277,767.470341333333,0
SANParks,reserve_8,-0.0187822723414389,-0.0196033677831362,-0.0191005012260481,-0.0181926400362971,-0.018037596004612,75.0142364501953,505.755828857422,16.9219608306885,103.658264160156,1.42553699016571,-0.369121372699738,0.0390025351831961,451.444621550731,16.9519876577915,19.4297090530396,0.0129482794831713,0.00489212448379412,0.0117559497310513,0.000111666637107388,0.304840590122973,-0.495857555635325,0.682698430297584,-0.784363300633214,0.499364172557896,-0.015527755315766,0.00078448864833232,0.771372728626871,-0.000115110705303825,0.581517614352053,0.10666097793773,-2.35238042609743,0.326362573186854,-0.785817302838397,0.304960840131771,-0.015602929650282,-1.07762983092937,0.240595012315778,-0.454681966690337,0.138838214904843,0.102959319854714,-1.52113246890063,0.284966721855557,-0.549096310782456,0.251461445605697,0.018919381302015,11.4715087890625,23.7841866493225,0.0763820723832344,-0.109837958403853,-0.0187822723414389,-0.0196033677831362,-0.0191005012260481,-0.0181926400362971,-0.018037596004612,21032.3648239608,171.0015,62.929675,43.875,23.6128171552069,5.18604884530849,1.55251162340258,8,8,0,0.142125891454419,0.00813039814739183,0.0335553565139754,0.0572056088035114,0.24229807077167,4.23556493566759,0.183811646115787,0,2.02457113009492,8,,1998,Fynbos,39,18.3811646115787,0.813039814739183,3.35553565139754,14.2125891454419,0
HC,reserve_9,-0.0216878752546319,-0.0224494208295727,-0.0218968555672032,-0.0212393309280537,-0.0205130687955579,937.962097167969,252.352264404297,14.9233503341675,130.378295898438,0,0.0837159529328346,0.00837846381424849,313.805680103791,15.3613298122699,0.521831811964512,0.0122638111507858,0.150523616648908,0.0103256498338569,0.0981277829693028,0.0514120168125324,-0.870347191933242,0.393771739344679,-0.851373393396806,0.356460171814626,-0.00549936510176585,-0.000605219309240241,0.634908638196595,0,0,0,-0.140193435877749,0.473403449342266,0.0378531327984086,0.0630980753726708,0.302766263093339,-0.218407233535121,0.438669506511485,0.0438379481155253,0.0865983675379606,0.307949699068363,-0.517413126096277,0.461783017760781,0.109851701431641,0.154128165866438,0.340995435428818,0.744328701496124,1.99127732515335,0.0798356086397551,-0.277352274708786,-0.0216878752546319,-0.0224494208295727,-0.0218968555672032,-0.0212393309280537,-0.0205130687955579,4500,4400,970.76385,391.7473,473.319731907195,146.948554564705,43.3075940334159,12,9,1.95555555555556,1.0744432,13.083287,6.27107084444445,12.1768065543158,2.08629232941779,0.171333290063507,20.4288010444445,0.0972222222222222,3.14473854258979,8,0.355975911111111,1999,Fynbos,39,2042.88010444445,1308.3287,627.107084444445,107.44432,195.555555555556
SANParks,reserve_10,-0.00791889839490542,-0.00817300474711413,-0.00779753997076435,-0.0070330026459102,-0.00628204044071141,652.821044921875,122.673484802246,21.5950946807861,139.423675537109,0.00101141456980258,0.128275781869888,5.01805698149838e-06,145.861490005102,21.5706599308894,0.324922943115234,0.0192511377301893,0.0379184516843499,0.0177909451842152,0.0257673496976757,0.101933871714366,-1.26996791606884,0.284891419612465,-1.56080360499972,0.107488027031933,0.0413108762796536,9.00299131639466e-07,0.202023114084668,0,0,0,-0.0115480124943009,0.482838522985537,0.00130213672552211,0.935393110547233,-0.115323195534005,-0.0149410764342026,0.292723210235509,-0.00819535375825286,0.160937759615198,0.251260373762666,-0.033222271334615,0.339876686521509,-0.00188722871595775,0.713375844105795,-0.109533480738503,0.272159196436405,0.601806491613388,0.0892468649168282,-0.870667039000093,-0.00791889839490542,-0.00817300474711413,-0.00779753997076435,-0.0070330026459102,-0.00628204044071141,49353.7407102078,899.9948,195.219428571429,112.0005,145.543588648317,28.7034127203468,7.43811684402816,14,12,0,3.82275110224782,1.85688794164786,5.80878669123261,0.485746493031155,0.319668812154959,0.658098034141558,11.4884257351283,0,2.55464480627832,12,0.000195942189200663,1966,Nama-Karoo,33,1148.84257351283,185.688794164786,580.878669123261,382.275110224782,0
